1,2
36960,42769
36491,42478
37032,44261
37929,46192
38844,46685
40561,47015
43517,48601
46219,50601
50690,54238
53460,56301
52403,55841
51928,55747
49782,52909
50639,54303
49395,53087
48039,52440
48751,53026
49642,53430
52057,55667
51504,55402
50023,54152
47773,52593
45447,50288
43399,48547
40616,45776
39732,45589
39794,47272
40033,48569
40183,48468
40570,47631
40321,47009
40139,46829
41980,48393
43973,49286
44322,48162
44152,47261
42851,45474
41647,45326
40148,43949
39354,43362
40043,44405
42359,46570
46057,49671
46157,50241
45130,49293
43321,47443
41286,44739
39573,43282
37282,41355
36433,41268
36469,42956
36917,44565
37107,44576
37344,43389
37067,42442
37781,42401
39905,42788
41433,43352
41857,43192
42225,43225
42172,43023
41976,42148
41246,41659
41469,41745
42953,43097
45498,45842
47772,48704
47379,48891
46126,47861
43867,46134
40970,43157
38822,41480
36330,39553
35626,39632
35969,41645
36651,43895
37676,44774
39590,45270
42796,47038
46312,49335
51729,53126
55489,55410
55525,55204
55523,54827
53021,51758
53983,53513
53951,52445
53484,51531
54133,52040
54353,52172
54564,53328
52811,52792
50665,51545
47884,49824
44819,47796
42139,46239
39095,44176
38080,44054
38276,46217
38656,48324
39343,48896
40655,48940
42639,50331
44795,50898
48497,53782
49949,55586
49511,55127
48979,54858
46654,51672
47162,53355
45990,52668
45392,51835
45807,52049
46131,51172
47924,52848
47114,52038
45570,50456
43335,48614
41187,46466
39153,44802
36614,42450
35865,42004
36177,43841
36683,46101
37219,46555
38208,46655
39495,47323
41226,48289
45197,51723
47056,54031
46916,53548
47447,53732
45773,50598
46101,52700
45225,52112
44543,51230
44748,51524
44729,50513
46130,51633
45303,50925
43719,49405
41628,47746
39815,46056
38070,44566
35821,42495
35191,42148
35688,44093
36218,46344
36906,47060
37795,46700
38992,47292
40420,47996
44301,51351
46959,53590
47580,53635
47435,53254
45556,50600
46045,52436
45821,52069
45224,51411
45484,51673
46055,50936
47531,51586
46394,50401
44674,48687
42427,47057
40282,45263
38423,43573
36221,41570
35689,41219
36119,43298
36790,45345
37418,45965
38308,45650
39379,46047
40074,47117
43428,50048
46220,52379
47144,52467
47475,52604
45380,49922
45651,51639
44820,50838
44104,49875
44444,50174
44356,49353
45888,49793
45042,49056
43407,47782
41272,46388
39506,44994
37977,43488
35840,41191
35144,40758
35378,42615
35906,44779
36210,44812
36049,43603
35397,41832
35006,40906
36814,41741
38678,42766
39317,43285
39379,43598
38681,42522
38166,42410
37226,41411
36711,41000
37206,41629
38088,42437
40138,43919
39831,43994
38532,42718
36720,40836
35233,38591
34117,37597
32305,36142
31943,35907
32293,38013
32875,39999
33177,40233
32812,38975
31768,37181
31570,36526
33133,36844
34977,38094
36042,38923
36932,39404
36952,39554
36404,39132
35692,38419
35724,38459
36367,39168
37581,40267
39772,42564
39547,42770
38206,41544
36377,39990
34351,37682
33223,36470
31547,35184
31168,34821
31885,37073
32667,39577
33259,40533
33680,40162
34609,40549
36539,42494
40803,47561
44077,50854
45337,51997
46018,52544
43801,49515
44934,51369
44829,51146
44940,50351
44713,50427
43561,49692
44687,50483
43352,48983
41450,47142
39280,45242
37547,43517
35933,42071
33794,39770
33138,39378
33682,41032
34341,43094
34745,43720
34936,42876
35753,42765
37330,44564
41398,49005
44793,51796
46054,52587
46788,52954
45121,50287
46407,53129
46205,52990
45769,52738
45682,52951
44541,51130
45109,50823
43774,49437
41733,47378
39498,45488
37752,43836
36221,42351
34051,40004
33328,39484
33761,41093
34394,43070
34706,43686
34712,42916
35228,42643
37417,44266
41733,49084
45396,52534
46601,53390
47181,53950
45883,51583
47476,54392
47179,54477
46346,54198
46049,53693
45306,51504
46147,51352
44699,49650
42759,47817
40520,45608
38606,43872
36853,42562
34783,40166
33854,39408
34169,41061
34750,42945
35212,43616
35701,43190
37453,43242
39909,45018
44210,50421
47141,53847
47784,54014
47908,54327
45883,51615
47679,54027
47731,54059
47530,53559
47981,53691
48077,52380
48501,52033
47101,49878
45116,47815
42616,45921
40290,43888
38271,42659
35935,40179
35088,39336
35434,40783
36180,42898
36805,43727
37761,43356
39930,43640
42611,45690
47173,50183
50042,52356
50373,52318
50288,52252
48225,49224
49171,51760
48888,52080
48529,51667
48765,51979
48850,50759
49589,50822
48351,49469
46432,47573
43950,45445
41813,43833
39664,42386
36950,40065
35799,39102
35784,40513
36277,42697
36487,43191
36548,42128
36988,40616
37972,40523
40154,42197
41108,43321
40768,44069
41610,44014
40577,42837
39833,42554
38630,41315
37558,40561
38044,41079
38958,42437
41755,44243
41997,44987
41047,44143
39326,42208
37748,40303
36457,39168
34386,37475
33713,36930
34037,38681
34516,40999
34814,41824
34454,40773
33794,39074
33814,37745
35548,37738
37381,38793
37827,39240
37436,39404
36715,39369
36089,38811
35721,37864
35947,37723
37151,38883
39353,41270
41796,43109
41780,43560
40607,42540
38713,40891
36482,38797
34916,37482
33032,35658
32510,35477
33066,37789
33826,40353
34569,41268
35095,41528
36592,42287
38922,44060
43085,48593
45943,51737
45997,51907
46677,52141
45205,49109
46915,51490
47323,51874
47165,50914
47930,51064
48108,50426
48642,51070
47211,50040
45269,48213
42653,46395
40305,44331
38151,43000
35603,40669
34879,40120
35157,42088
35895,44479
36515,45288
37073,45108
38070,45086
39280,45812
42802,49653
45866,52256
46731,52621
