,,Japan,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Japan
4/3/22,2:00,5021,48731,7010,273,1944,30132,568,-6900,0,9338,-9240,1112,0,86879,3.7
4/3/22,3:00,5020,49496,6741,262,1946,30138,611,-6931,0,9596,-9513,1891,6,87367,6.31
4/3/22,4:00,5022,50493,6613,260,1947,28746,623,-6538,0,9464,-9386,2140,16,87244,3.33
4/3/22,5:00,5021,51827,6655,260,1944,25906,619,-6106,0,9239,-9163,2158,28,86198,1.5
4/3/22,6:00,5021,53929,6770,259,1947,21590,637,-5538,77,9287,-9188,1676,32,84789,1.01
4/3/22,7:00,5020,57206,7311,259,1947,16107,609,-3830,275,9013,-8896,1111,14,85014,5.09
4/3/22,8:00,5021,62603,8238,260,1950,9868,616,-2023,1266,8052,-7937,0,0,87904,8.21
4/3/22,9:00,5015,70142,9409,263,1991,3221,555,-182,2963,6926,-6750,0,0,93550,20.91
4/3/22,10:00,5014,73948,10073,262,1989,235,525,0,6472,5904,-5692,0,0,98731,23.45
4/3/22,11:00,5016,74606,9925,262,1979,0,511,0,6347,6014,-5811,0,0,98847,23.81
4/3/22,12:00,5021,74115,9422,260,1984,0,486,0,5109,6138,-5921,0,0,96614,23.63
4/3/22,13:00,5022,72704,8610,262,1980,0,482,0,3221,6353,-6133,0,0,92501,23.45
4/3/22,14:00,5022,70312,7835,264,1978,0,470,-490,1080,6562,-6364,0,0,86670,25.3
4/3/22,15:00,5021,68236,7564,274,1981,0,460,-1422,416,6329,-6125,0,0,82733,21.59
4/3/22,16:00,5020,66347,7173,273,1993,0,461,-3433,61,6672,-6527,0,0,78040,15.62
4/3/22,17:00,5023,66904,7413,271,1993,0,443,-4842,97,6114,-5986,0,0,77427,16.67
4/3/22,18:00,5020,68355,7744,273,1990,0,450,-4928,895,5576,-5444,0,0,79929,18.43
4/3/22,19:00,5021,69317,8189,273,1987,0,482,-4202,1799,5502,-5375,0,0,82989,22.22
4/3/22,20:00,5020,68203,8545,273,1991,0,505,-1702,2148,5309,-5216,0,0,85076,19.74
4/3/22,21:00,5021,69196,8550,272,1977,103,528,-372,2270,5011,-4940,0,0,87619,25.49
4/3/22,22:00,5022,71671,8407,269,1957,2693,535,0,1932,5767,-5698,0,0,92566,37
4/3/22,23:00,5021,70774,8427,271,1945,10275,521,-14,691,6813,-6725,0,0,98006,30.68
4/4/22,0:00,5021,70117,9117,272,1928,19209,484,-1805,2381,8065,-7907,0,0,106885,22.01
4/4/22,1:00,5021,67375,9006,269,1909,26689,485,-2588,4703,8033,-7847,5,0,113053,19.87
4/4/22,2:00,5021,65077,8868,273,1898,31660,459,-4427,4165,8230,-8095,7,0,113130,17
4/4/22,3:00,5020,64682,8001,270,1901,33758,495,-5067,3723,8381,-8274,572,1,112884,13.26
4/4/22,4:00,5020,62634,7118,268,1913,33289,542,-5974,2410,8131,-8039,1062,3,107311,9.93
4/4/22,5:00,5021,64891,7326,271,1868,32381,588,-5282,2680,7894,-7800,867,4,109835,11.79
4/4/22,6:00,5020,65440,7734,276,1868,28413,612,-4390,3678,8127,-8036,148,2,108730,19.02
4/4/22,7:00,5022,68568,8925,277,1879,21457,643,-3109,3425,7811,-7712,5,0,107174,18.05
4/4/22,8:00,5013,73364,9782,274,1904,12612,693,-330,5006,7293,-7122,0,0,108474,24.34
4/4/22,9:00,5012,79182,10483,276,1934,4215,683,0,6991,7061,-6862,0,0,108968,40.14
4/4/22,10:00,5012,82603,11018,277,1948,234,659,0,8698,6135,-5942,0,0,110639,45.02
4/4/22,11:00,5020,82090,10977,278,1930,0,679,0,7335,6126,-5930,0,0,108503,40.13
4/4/22,12:00,5019,80877,10752,278,1913,0,659,0,5328,6350,-6196,0,0,104979,39.81
4/4/22,13:00,5018,79781,9911,278,1918,0,634,0,2813,6395,-6276,0,0,100471,39.49
4/4/22,14:00,5020,77152,9091,279,1920,0,582,0,1177,6842,-6736,0,0,95323,32.52
4/4/22,15:00,5020,75130,8393,279,1915,0,570,-980,500,6725,-6619,0,0,90931,21.1
4/4/22,16:00,5021,72047,7933,277,1918,0,587,-2732,272,6532,-6416,0,0,85440,18.38
4/4/22,17:00,5021,71904,7882,278,1917,0,595,-3881,454,5612,-5499,0,0,84283,20.04
4/4/22,18:00,5021,73361,8273,277,1911,0,579,-4020,1210,5325,-5204,0,0,86730,20.14
4/4/22,19:00,5022,73988,8621,279,1914,0,568,-3490,2343,5092,-4961,0,0,89372,24.18
4/4/22,20:00,5022,73744,9140,278,1914,0,556,-2670,2719,4852,-4706,0,0,90845,22.01
4/4/22,21:00,5022,74116,9141,278,1910,127,553,-1880,2945,5013,-4862,0,0,92362,28.95
4/4/22,22:00,5021,72251,8772,277,1905,4352,509,-310,2752,5617,-5502,0,0,95655,35.47
4/4/22,23:00,5021,66300,8375,276,1906,15119,438,-27,488,7120,-7052,0,0,97969,22.09
4/5/22,0:00,5022,62556,8124,275,1890,26595,360,-883,231,7796,-7682,123,0,104286,15.16
4/5/22,1:00,5022,59566,7706,275,1858,35613,270,-2963,247,7911,-7818,181,0,107688,10.79
4/5/22,2:00,5021,55175,7308,275,1853,42278,287,-5625,351,7480,-7430,219,0,106972,9.75
4/5/22,3:00,5023,54609,7320,273,1858,45702,341,-8930,0,8180,-8130,380,0,106238,9.39
4/5/22,4:00,5022,53358,7217,273,1848,45775,343,-13078,0,8305,-8254,771,0,100805,0.66
4/5/22,5:00,5022,56048,7203,276,1859,43043,369,-11115,0,8709,-8654,284,0,102755,9.39
4/5/22,6:00,5022,57635,7434,276,1863,36127,350,-8007,0,8150,-8081,166,0,100760,9.57
4/5/22,7:00,5022,61090,8198,277,1872,25700,348,-3977,617,7076,-6998,97,0,99215,6.05
4/5/22,8:00,5021,68848,9190,277,1882,13648,295,-38,955,6399,-6298,0,0,100172,18.24
4/5/22,9:00,5015,75495,10445,277,1908,3319,329,0,3024,5204,-5045,0,0,99965,29.73
4/5/22,10:00,5015,78543,11090,277,1895,127,414,0,6017,4591,-4413,0,0,103553,38.86
4/5/22,11:00,5016,78630,11117,278,1841,4,469,0,4429,5025,-4844,0,0,101964,31.22
4/5/22,12:00,5020,77570,10502,280,1811,0,494,0,2850,5408,-5225,0,0,98709,28.4
4/5/22,13:00,5020,75378,9526,280,1807,0,548,0,1736,5720,-5558,0,0,94455,25.16
4/5/22,14:00,5021,72547,8867,278,1819,0,595,0,841,6053,-5930,0,0,90090,24.43
4/5/22,15:00,5022,69586,8171,278,1821,0,699,-16,483,5861,-5740,0,0,86163,16.69
4/5/22,16:00,5020,64710,7964,279,1822,0,763,-10,313,5635,-5512,0,0,80980,12.56
4/5/22,17:00,5022,63538,8036,277,1817,0,797,-12,225,5435,-5303,0,0,79830,16.23
4/5/22,18:00,5020,65234,8306,278,1819,0,816,0,507,5109,-4960,0,0,82127,17.76
4/5/22,19:00,5023,66423,8909,278,1818,0,823,0,1468,4967,-4803,0,0,84905,20.21
4/5/22,20:00,5020,66603,9364,279,1820,0,911,0,1905,4689,-4556,0,0,86034,23.5
4/5/22,21:00,5021,67332,9417,278,1816,157,967,0,1936,4986,-4839,0,0,87074,20.21
4/5/22,22:00,5021,66689,8890,277,1810,3547,987,0,1539,6430,-6308,0,0,88880,18.27
4/5/22,23:00,5024,61174,8424,277,1809,12971,999,0,545,7375,-7280,0,0,91321,13.99
4/6/22,0:00,5022,57830,8367,277,1801,24553,1119,-678,163,7904,-7795,248,0,98568,8.79
4/6/22,1:00,5022,54212,8046,276,1779,33895,1262,-2057,123,8097,-7987,368,0,102667,1.01
4/6/22,2:00,5021,49432,7465,276,1767,41806,1312,-4859,9,7613,-7536,463,0,102304,0.01
4/6/22,3:00,5022,47676,7270,277,1768,46663,1294,-6963,25,7801,-7722,990,0,103112,0.01
4/6/22,4:00,5021,46418,7140,275,1775,47672,1233,-11236,0,8007,-7935,1184,0,98367,0.01
4/6/22,5:00,5021,48813,7136,276,1764,45399,1154,-8833,0,7563,-7490,991,0,100801,0.01
4/6/22,6:00,5022,50809,7539,275,1760,38708,1121,-5991,0,7775,-7696,586,0,99319,0.01
4/6/22,7:00,5022,55420,8197,278,1787,27994,1108,-2677,435,7377,-7279,342,0,97657,4.7
4/6/22,8:00,5015,65005,9325,277,1801,15425,1082,-355,604,6809,-6684,0,0,98301,13.11
4/6/22,9:00,5016,72421,10087,279,1824,4407,989,0,2408,6159,-6007,0,0,97577,24.37
4/6/22,10:00,5017,75046,10779,280,1820,251,928,0,5886,5575,-5409,0,0,100173,24.46
4/6/22,11:00,5021,75086,10832,278,1819,0,893,0,4690,5453,-5279,0,0,98792,24.46
4/6/22,12:00,5022,74179,10537,281,1818,0,807,0,2809,6052,-5887,0,0,95621,24.45
4/6/22,13:00,5023,71636,9890,280,1846,0,795,0,2093,6137,-5987,0,0,91713,24.37
4/6/22,14:00,5023,69633,9341,280,1857,0,764,0,1055,6314,-6180,0,0,88085,18.47
4/6/22,15:00,5024,67289,8565,281,1862,0,736,0,743,6109,-5984,0,0,84621,14.37
4/6/22,16:00,5024,63550,8018,278,1860,0,746,-13,360,5537,-5412,0,0,79947,17.08
4/6/22,17:00,5021,62841,7947,280,1861,0,702,-19,264,5117,-4969,0,0,79043,21.28
4/6/22,18:00,5023,64596,8219,280,1863,0,603,0,906,4445,-4331,0,0,81604,25.12
4/6/22,19:00,5022,65601,8907,278,1864,0,479,0,2250,4410,-4292,0,0,84516,27.84
4/6/22,20:00,5020,66467,9329,280,1865,0,367,0,2575,4302,-4192,0,0,86011,26.86
4/6/22,21:00,5023,66966,9067,280,1865,218,342,0,2819,4557,-4444,0,0,86694,30.09
4/6/22,22:00,5021,65920,8639,278,1858,4884,333,0,1339,5255,-5143,0,0,88394,25.3
