,,Chubu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Chubu
4/3/22,10:00,0,11114,1377,0,221,0,53,0,846,487,0,0,0,14098,19.3
4/3/22,11:00,0,11199,1324,0,222,0,57,0,607,589,0,0,0,13998,23.81
4/3/22,12:00,0,11132,1205,0,224,0,59,0,505,617,0,0,0,13742,22.74
4/3/22,13:00,0,10984,1107,0,223,0,54,0,180,668,0,0,0,13216,23.63
4/3/22,14:00,0,10769,968,0,223,0,47,0,2,340,0,0,0,12349,24.98
4/3/22,15:00,0,10943,934,0,224,0,50,-2,0,0,-229,0,0,11920,18
4/3/22,16:00,0,11280,910,0,222,0,49,-378,0,0,-777,0,0,11306,14.74
4/3/22,17:00,0,11297,929,0,223,0,48,-812,0,0,-475,0,0,11210,16.73
4/3/22,18:00,0,11470,979,0,222,0,49,-898,0,0,-412,0,0,11410,17.02
4/3/22,19:00,0,11896,986,0,223,0,51,-702,0,0,-652,0,0,11802,17.3
4/3/22,20:00,0,11774,989,0,222,0,54,-532,0,0,-487,0,0,12020,19.2
4/3/22,21:00,0,11647,1050,1,223,0,44,-362,0,0,-232,0,0,12371,27.85
4/3/22,22:00,0,11306,1149,0,221,329,38,0,16,31,0,0,0,13090,33.18
4/3/22,23:00,0,11017,1205,0,222,1846,53,0,96,5,0,0,0,14444,31.84
4/4/22,0:00,0,11543,1293,0,220,3482,54,0,130,0,-201,0,0,16521,24.54
4/4/22,1:00,0,10093,1163,0,217,4924,60,-246,0,1435,0,0,0,17646,26.03
4/4/22,2:00,0,9228,1091,0,217,5930,53,-796,0,1717,0,0,0,17440,19.57
4/4/22,3:00,0,8932,1091,0,217,6343,66,-924,0,1441,0,0,0,17166,19.74
4/4/22,4:00,0,8180,1040,0,220,6465,78,-914,0,1004,0,0,0,16073,16.8
4/4/22,5:00,0,8208,1044,0,219,6611,104,-598,0,1173,0,0,0,16761,19.27
4/4/22,6:00,0,8472,1049,0,221,5979,106,-547,0,1280,0,0,0,16560,19.74
4/4/22,7:00,0,9596,1068,1,220,4422,129,-455,0,1167,0,0,0,16148,22.12
4/4/22,8:00,0,11388,1229,0,222,2250,174,0,186,640,0,0,0,16089,31.96
4/4/22,9:00,0,11922,1436,0,221,511,170,0,241,1265,0,0,0,15766,36.51
4/4/22,10:00,0,13209,1499,0,223,0,172,0,694,295,0,0,0,16092,45.03
4/4/22,11:00,0,13129,1632,0,221,0,180,0,723,0,-125,0,0,15760,36.08
4/4/22,12:00,0,12889,1678,0,221,0,187,0,574,0,-197,0,0,15352,35.2
4/4/22,13:00,0,12693,1588,0,224,0,178,0,253,103,0,0,0,15039,35.62
4/4/22,14:00,0,12500,1432,0,226,0,159,0,20,13,0,0,0,14350,29.32
4/4/22,15:00,0,12635,1198,0,228,0,145,0,0,0,-164,0,0,14042,17.68
4/4/22,16:00,0,12074,1017,0,226,0,120,0,112,0,-333,0,0,13216,15.72
4/4/22,17:00,0,11376,994,0,227,0,99,0,294,40,0,0,0,13030,16.67
4/4/22,18:00,0,11184,1029,0,226,0,106,0,300,403,0,0,0,13248,19.44
4/4/22,19:00,0,11565,1023,0,227,0,114,0,126,556,0,0,0,13611,19.6
4/4/22,20:00,0,11457,1112,1,226,0,119,0,64,724,0,0,0,13703,20.21
4/4/22,21:00,0,11520,1059,0,227,2,115,0,52,896,0,0,0,13871,29.32
4/4/22,22:00,0,10880,1101,0,227,1023,100,0,310,734,0,0,0,14375,37.32
4/4/22,23:00,0,9630,1181,0,228,3427,94,0,271,141,0,0,0,14972,17.06
4/5/22,0:00,0,9235,1182,0,225,5744,56,0,144,0,-94,0,0,16492,12.53
4/5/22,1:00,0,8783,1147,0,224,7313,16,0,204,0,-302,0,0,17385,12.07
4/5/22,2:00,0,7615,987,0,224,8194,8,0,114,94,0,0,0,17236,9.82
4/5/22,3:00,0,7662,981,0,223,8606,11,-838,0,327,0,0,0,16972,11.84
4/5/22,4:00,0,7317,950,0,227,8439,5,-1976,0,873,0,0,0,15835,1.01
4/5/22,5:00,0,8295,970,0,223,7868,3,-1707,0,858,0,0,0,16510,7.27
4/5/22,6:00,0,8720,1052,0,226,6697,7,-953,0,641,0,0,0,16390,8.09
4/5/22,7:00,0,9433,1122,1,226,4859,10,-90,0,459,0,0,0,16020,6.6
4/5/22,8:00,0,10902,1291,0,227,2569,8,0,86,917,0,0,0,16000,16.54
4/5/22,9:00,0,12151,1514,0,227,402,7,0,42,1260,0,0,0,15603,29.87
4/5/22,10:00,0,12756,1702,0,218,0,10,0,741,651,0,0,0,16078,30.92
4/5/22,11:00,0,12546,1714,0,165,0,9,0,902,283,0,0,0,15619,29.27
4/5/22,12:00,0,12414,1555,0,135,0,11,0,781,208,0,0,0,15104,23.92
4/5/22,13:00,0,12202,1301,0,133,0,12,0,632,266,0,0,0,14546,19.67
4/5/22,14:00,0,12012,1186,0,135,0,18,0,303,402,0,0,0,14056,21.84
4/5/22,15:00,0,12402,982,0,133,0,23,0,270,0,-196,0,0,13614,15.93
4/5/22,16:00,0,11748,964,0,135,0,20,0,112,0,-168,0,0,12811,12.36
4/5/22,17:00,0,11030,951,0,136,0,9,0,0,428,0,0,0,12554,16.23
4/5/22,18:00,0,10704,984,0,135,0,5,0,0,932,0,0,0,12760,18.01
4/5/22,19:00,0,10667,982,0,135,0,6,0,52,1250,0,0,0,13092,20.44
4/5/22,20:00,0,10667,965,0,133,0,5,0,122,1198,0,0,0,13090,24.46
4/5/22,21:00,0,10680,1076,1,135,1,5,0,220,1190,0,0,0,13308,20.21
4/5/22,22:00,0,10564,1062,0,132,626,14,0,266,985,0,0,0,13649,18.47
4/5/22,23:00,0,9191,1102,0,133,2808,3,0,138,999,0,0,0,14374,13.99
4/6/22,0:00,0,8550,1227,0,132,5230,4,-154,0,1094,0,0,0,16083,10.86
4/6/22,1:00,0,8449,1197,0,131,7006,12,-411,0,586,0,0,0,16970,1.01
4/6/22,2:00,0,7886,1114,0,131,7857,22,-834,0,573,0,0,0,16749,1.01
4/6/22,3:00,0,7870,1007,0,131,8272,20,-952,0,405,0,0,0,16753,0.01
4/6/22,4:00,0,7436,936,0,133,8173,30,-1356,0,150,0,0,0,15502,0.01
4/6/22,5:00,0,8310,964,0,132,7663,45,-850,0,77,0,0,0,16341,0.01
4/6/22,6:00,0,8840,1028,0,131,6242,47,-575,0,551,0,0,0,16264,0.01
4/6/22,7:00,0,9267,1077,1,133,4432,56,0,18,995,0,0,0,15979,5.53
4/6/22,8:00,0,10264,1271,0,134,2292,59,0,210,1602,0,0,0,15832,15.59
4/6/22,9:00,0,10961,1467,0,135,438,46,0,414,1949,0,0,0,15410,24.46
4/6/22,10:00,0,11471,1651,0,135,0,47,0,868,1571,0,0,0,15743,24.46
4/6/22,11:00,0,11471,1650,0,136,0,36,0,870,1147,0,0,0,15310,24.46
4/6/22,12:00,0,11417,1613,0,137,0,42,0,611,1024,0,0,0,14844,24.46
4/6/22,13:00,0,11220,1339,0,168,0,63,0,378,1231,0,0,0,14399,24.37
4/6/22,14:00,0,11757,1176,0,188,0,61,0,332,434,0,0,0,13948,18.54
4/6/22,15:00,0,11989,1077,0,192,0,62,0,404,0,-164,0,0,13560,14.39
4/6/22,16:00,0,11469,948,0,191,0,63,0,310,0,-124,0,0,12857,15.72
4/6/22,17:00,0,10580,946,0,190,0,62,0,171,564,0,0,0,12513,16.67
4/6/22,18:00,0,10281,931,0,189,0,59,0,130,1169,0,0,0,12759,18.76
4/6/22,19:00,0,10332,918,0,189,0,35,0,128,1453,0,0,0,13055,26.79
4/6/22,20:00,0,10582,929,1,192,0,17,0,84,1375,0,0,0,13180,26.43
4/6/22,21:00,0,10483,937,0,190,1,3,0,156,1461,0,0,0,13231,29.97
4/6/22,22:00,0,9971,964,0,189,785,1,0,16,1668,0,0,0,13594,24.11
4/6/22,23:00,0,8733,1118,0,190,2964,3,0,164,1090,0,0,0,14262,20.15
4/7/22,0:00,0,8228,1174,0,189,5270,6,0,83,874,0,0,0,15824,16.65
4/7/22,1:00,0,7701,1157,0,206,6988,18,-381,0,962,0,0,0,16651,14.84
4/7/22,2:00,0,7685,1089,0,222,7779,33,-1048,0,861,0,0,0,16621,3.73
4/7/22,3:00,0,8209,974,0,223,7491,54,-1148,0,558,0,0,0,16361,11.18
4/7/22,4:00,0,7805,918,0,225,7481,55,-1773,0,565,0,0,0,15276,0.01
4/7/22,5:00,0,8508,948,0,227,6562,49,-1037,0,730,0,0,0,15987,11.29
4/7/22,6:00,0,8912,979,0,226,5209,43,-437,0,1052,0,0,0,15984,12.22
4/7/22,7:00,0,9086,1010,1,228,3875,38,-71,0,1510,0,0,0,15677,13.07
4/7/22,8:00,0,10145,1110,0,228,1990,34,0,339,1798,0,0,0,15644,21.27
4/7/22,9:00,0,11279,1345,0,229,355,17,0,521,1648,0,0,0,15394,26.13
4/7/22,10:00,0,11657,1571,0,229,0,14,0,1030,1097,0,0,0,15598,31.61
4/7/22,11:00,0,11373,1608,0,230,0,48,0,1093,837,0,0,0,15189,28.03
4/7/22,12:00,0,11430,1541,0,225,0,42,0,704,724,0,0,0,14666,22.28
4/7/22,13:00,0,10939,1367,0,196,0,39,0,515,1151,0,0,0,14207,24.28
4/7/22,14:00,0,11410,1194,0,176,0,52,0,175,706,0,0,0,13713,19.32
4/7/22,15:00,0,11460,978,0,176,0,83,0,142,403,0,0,0,13242,15.93
4/7/22,16:00,0,11147,944,0,174,0,107,0,138,0,-13,0,0,12497,15.72
4/7/22,17:00,0,10343,962,0,173,0,123,0,130,462,0,0,0,12193,16.7
4/7/22,18:00,0,10157,932,0,136,0,110,0,130,944,0,0,0,12409,19.23
4/7/22,19:00,0,10440,924,0,133,0,125,0,132,934,0,0,0,12688,26.79
4/7/22,20:00,0,10576,1053,1,131,0,127,0,132,811,0,0,0,12831,19.67
4/7/22,21:00,0,10421,1073,0,132,2,105,0,218,963,0,0,0,12914,28.3
4/7/22,22:00,0,9462,1038,0,129,1010,104,0,20,1511,0,0,0,13274,23.68
4/7/22,23:00,0,8488,1023,0,131,3313,82,0,0,889,0,0,0,13926,17.68
4/8/22,0:00,0,7673,1101,0,129,5401,86,-142,0,1181,0,0,0,15429,13.39
4/8/22,1:00,0,6970,1088,0,126,7177,109,-454,0,1402,0,0,0,16418,11.39
4/8/22,2:00,0,6864,1024,0,127,8137,118,-472,0,598,0,0,0,16396,5.76
4/8/22,3:00,0,6792,909,0,129,8529,116,-552,0,326,0,0,0,16249,13.28
4/8/22,4:00,0,6564,879,0,127,8395,117,-1513,0,640,0,0,0,15209,0.01
4/8/22,5:00,0,6808,924,0,127,7796,107,-828,0,921,0,0,0,15855,11.46
4/8/22,6:00,0,7028,928,1,125,6636,107,-650,0,1566,0,0,0,15741,12.5
4/8/22,7:00,0,7491,951,0,128,4919,90,-48,0,1828,0,0,0,15359,14.21
4/8/22,8:00,0,8983,1108,0,128,2718,52,0,287,2043,0,0,0,15319,23.68
4/8/22,9:00,0,10379,1306,0,127,627,37,0,751,1614,0,0,0,14841,28.23
4/8/22,10:00,0,11146,1474,0,129,0,31,0,1168,1123,0,0,0,15071,31.16
4/8/22,11:00,0,11179,1528,0,130,0,25,0,1257,603,0,0,0,14722,27.23
4/8/22,12:00,0,11158,1451,0,135,0,18,0,1171,396,0,0,0,14329,25.9
4/8/22,13:00,0,11020,1292,0,138,0,15,0,646,767,0,0,0,13878,26.79
4/8/22,14:00,0,11309,1117,0,134,0,13,0,392,599,0,0,0,13564,30.63
4/8/22,15:00,0,11691,944,0,136,0,14,0,363,0,-3,0,0,13145,18.6
4/8/22,16:00,0,11378,830,0,137,0,8,0,189,0,-297,0,0,12245,19.87
4/8/22,17:00,0,10481,792,0,135,0,6,0,71,527,0,0,0,12012,19.94
4/8/22,18:00,0,10346,786,0,137,0,5,0,70,912,0,0,0,12256,22.76
4/8/22,19:00,0,10802,818,0,135,0,5,0,237,534,0,0,0,12531,22.01
4/8/22,20:00,0,10911,843,1,136,0,5,0,387,208,0,0,0,12491,18.34
4/8/22,21:00,0,10366,938,0,135,3,1,0,570,108,0,0,0,12121,18.71
4/8/22,22:00,0,8774,927,0,137,1038,1,0,616,250,0,0,0,11743,15.24
4/8/22,23:00,0,7208,747,0,135,3320,2,0,126,184,0,0,0,11722,0.09
4/9/22,0:00,0,6721,775,0,135,5509,3,-949,0,56,0,0,0,12250,0.01
4/9/22,1:00,0,5912,795,0,135,7100,2,-1457,0,78,0,0,0,12565,0.01
4/9/22,2:00,0,5695,843,0,133,7992,6,-2004,0,0,-22,0,0,12643,0.01
4/9/22,3:00,0,5710,881,0,133,8299,9,-1885,0,0,-528,0,0,12619,0.01
4/9/22,4:00,0,5418,849,0,133,8156,12,-1593,0,0,-690,0,0,12285,0.01
4/9/22,5:00,0,5811,840,0,133,7584,12,-2031,0,0,-133,0,0,12216,0.01
4/9/22,6:00,0,6365,845,0,134,6420,20,-1952,0,112,0,0,0,11944,0.01
4/9/22,7:00,0,6854,857,0,133,4750,22,-1625,0,814,0,0,0,11805,0.01
4/9/22,8:00,0,7446,925,0,133,2584,27,-199,0,930,0,0,0,11846,1.01
4/9/22,9:00,0,8831,1197,0,132,581,20,0,314,805,0,0,0,11880,15.96
4/9/22,10:00,0,9311,1334,0,133,0,21,0,609,1110,0,0,0,12518,23.39
4/9/22,11:00,0,9120,1271,0,133,0,14,0,1002,957,0,0,0,12497,23.39
4/9/22,12:00,0,8748,1205,0,132,0,9,0,1187,803,0,0,0,12084,20.4
4/9/22,13:00,0,8350,986,0,134,0,8,0,1162,929,0,0,0,11569,18.18
4/9/22,14:00,0,8283,821,0,133,0,5,0,1247,524,0,0,0,11013,16.96
4/9/22,15:00,0,8523,761,0,133,0,6,0,1429,0,-63,0,0,10789,13.88
4/9/22,16:00,0,7827,765,0,134,0,21,0,1397,24,0,0,0,10168,10.42
4/9/22,17:00,0,7471,756,0,132,0,21,0,1160,545,0,0,0,10085,16.89
4/9/22,18:00,0,7482,754,0,135,0,13,0,1074,925,0,0,0,10383,17.88
4/9/22,19:00,0,7893,876,0,133,0,13,0,1057,778,0,0,0,10750,18.33
4/9/22,20:00,0,7816,930,0,135,0,15,0,956,882,0,0,0,10734,19.94
4/9/22,21:00,0,7967,938,0,133,5,5,0,700,825,0,0,0,10573,18.34
4/9/22,22:00,0,7106,790,0,132,1134,3,0,331,614,0,0,0,10110,12.93
4/9/22,23:00,0,5400,733,0,132,3447,2,-299,0,766,0,0,0,10181,4.21
4/10/22,0:00,0,5129,755,0,132,5530,1,-1197,0,169,0,0,0,10519,0.01
4/10/22,1:00,0,4921,770,0,133,7061,1,-1779,0,0,-247,0,0,10860,0.01
4/10/22,2:00,0,4862,765,0,129,7935,2,-2360,0,0,-322,0,0,11011,0.01
4/10/22,3:00,0,4899,737,0,130,8252,2,-2427,0,0,-443,0,0,11150,0.01
4/10/22,4:00,0,4863,746,0,132,8091,3,-2378,0,0,-300,0,0,11157,0.01
4/10/22,5:00,0,5004,802,0,130,7466,4,-2360,0,0,-34,0,0,11012,0.01
4/10/22,6:00,0,5640,843,0,131,6297,8,-2109,0,47,0,0,0,10857,0.01
4/10/22,7:00,0,6077,841,0,132,4611,16,-1691,0,787,0,0,0,10773,0.01
4/10/22,8:00,0,6926,834,0,131,2454,19,-532,0,1120,0,0,0,10952,9.34
4/10/22,9:00,0,8220,1037,0,130,490,21,0,370,1031,0,0,0,11299,16.55
4/10/22,10:00,0,8843,1110,0,132,0,25,0,886,984,0,0,0,11980,20.1
4/10/22,11:00,0,9015,1118,0,131,0,21,0,745,926,0,0,0,11956,22.74
4/10/22,12:00,0,8997,1080,0,132,0,20,0,532,836,0,0,0,11597,20.45
4/10/22,13:00,0,9048,925,0,133,0,18,0,463,597,0,0,0,11184,17.2
4/10/22,14:00,0,9124,846,0,132,0,14,0,337,120,0,0,0,10573,12.86
4/10/22,15:00,0,9399,787,0,133,0,5,0,198,0,-202,0,0,10320,9.84
4/10/22,16:00,0,8788,753,0,133,0,5,-2,0,126,0,0,0,9803,13.64
4/10/22,17:00,0,7876,755,0,132,0,4,-214,0,1028,0,0,0,9581,20.03
4/10/22,18:00,0,7886,783,0,135,0,3,-198,0,1328,0,0,0,9937,19.82
4/10/22,19:00,0,8284,800,0,132,0,3,0,0,1254,0,0,0,10473,20.25
4/10/22,20:00,0,8167,871,0,133,0,2,0,0,1434,0,0,0,10607,19.43
4/10/22,21:00,0,9107,828,0,133,5,0,0,0,778,0,0,0,10851,18.54
4/10/22,22:00,0,8940,818,1,131,792,10,-64,0,817,0,0,0,11445,17.37
4/10/22,23:00,0,8383,875,0,131,2747,8,-178,0,642,0,0,0,12608,14.08
4/11/22,0:00,0,8819,878,0,130,4528,7,-198,0,499,0,0,0,14663,13.42
