,,Chubu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Chubu
6/23/22,2:00,0,11965,1028,0,202,5986,3,0,127,710,0,0,0,20021,19.38
6/23/22,3:00,0,11909,967,0,203,6578,4,0,4,804,0,0,0,20469,18.95
6/23/22,4:00,0,11303,986,0,206,6614,4,0,3,399,0,0,0,19515,18.16
6/23/22,5:00,0,12968,1137,0,201,6281,6,0,145,77,0,0,0,20815,22.58
6/23/22,6:00,0,13443,1280,0,204,5426,18,0,57,531,0,0,0,20959,23.15
6/23/22,7:00,0,13750,1387,0,205,4007,14,0,63,1034,0,0,0,20460,20.88
6/23/22,8:00,0,14543,1543,0,207,2204,9,0,399,1009,0,0,0,19914,23.52
6/23/22,9:00,0,14896,1622,0,206,813,8,0,744,273,0,0,0,18562,24.36
6/23/22,10:00,0,14804,1724,0,210,102,6,0,701,298,0,0,0,17845,30.03
6/23/22,11:00,0,14652,1616,0,210,0,10,0,451,364,0,0,0,17303,28.4
6/23/22,12:00,0,14372,1236,0,209,0,11,0,393,400,0,0,0,16621,25.64
6/23/22,13:00,0,14011,1100,0,211,0,13,0,507,68,0,0,0,15910,23.03
6/23/22,14:00,0,13415,952,0,210,0,18,0,423,244,0,0,0,15262,21.54
6/23/22,15:00,0,13049,930,0,212,0,14,0,62,363,0,0,0,14630,18.05
6/23/22,16:00,0,11505,856,0,210,0,13,0,3,1014,0,0,0,13601,17.67
6/23/22,17:00,0,11054,899,0,210,0,12,0,3,722,0,0,0,12900,18.31
6/23/22,18:00,0,10851,914,0,209,0,19,-26,0,792,0,0,0,12759,16.59
6/23/22,19:00,0,11092,856,0,209,0,28,-241,0,924,0,0,0,12868,16.59
6/23/22,20:00,0,11165,822,0,209,0,34,-237,0,972,0,0,0,12965,17.31
6/23/22,21:00,0,10723,852,0,210,72,35,-284,0,1325,0,0,0,12933,17.73
6/23/22,22:00,0,10783,851,0,211,550,40,-425,0,1394,0,0,0,13404,16.54
6/23/22,23:00,0,11125,845,0,209,1725,52,0,72,921,0,0,0,14949,15.66
6/24/22,0:00,0,12066,952,0,207,3121,36,0,156,1164,0,0,0,17702,19.27
6/24/22,1:00,0,13099,1029,0,208,4729,39,0,39,717,0,0,0,19860,27.53
6/24/22,2:00,0,13201,1037,0,206,5776,30,0,10,295,0,0,0,20555,23.38
6/24/22,3:00,0,13305,1064,0,206,6253,37,0,3,0,-17,0,0,20851,24.14
6/24/22,4:00,0,12814,960,1,207,6510,44,0,3,0,-460,0,0,20079,18.2
6/24/22,5:00,0,13401,1002,0,204,5922,58,0,3,549,0,0,0,21139,21.04
6/24/22,6:00,0,14928,1119,0,204,4578,89,0,266,0,-84,0,0,21100,23.19
6/24/22,7:00,0,14770,1204,0,205,3810,83,0,82,638,0,0,0,20792,20.88
6/24/22,8:00,0,15023,1463,0,206,2689,79,0,815,294,0,0,0,20569,23.32
6/24/22,9:00,0,14918,1519,0,208,1098,74,0,1067,327,0,0,0,19211,32.57
6/24/22,10:00,0,14696,1527,1,211,121,60,0,1060,620,0,0,0,18296,37.8
6/24/22,11:00,0,14593,1440,0,209,0,59,0,903,505,0,0,0,17709,42.06
6/24/22,12:00,0,14630,1142,0,210,0,64,0,96,755,0,0,0,16897,22.59
6/24/22,13:00,0,15085,977,0,212,0,67,0,61,0,-258,0,0,16144,21.04
6/24/22,14:00,0,14483,841,0,211,0,89,0,35,0,-165,0,0,15494,21.2
6/24/22,15:00,0,13859,763,1,213,0,111,0,20,0,-130,0,0,14837,18.4
6/24/22,16:00,0,12048,753,0,213,0,97,0,3,531,0,0,0,13645,19.89
6/24/22,17:00,0,11315,778,0,212,0,95,0,3,398,0,0,0,12801,20.26
6/24/22,18:00,0,10874,814,1,213,0,80,0,3,524,0,0,0,12509,19.76
6/24/22,19:00,0,10683,878,0,213,0,57,0,35,722,0,0,0,12588,20.17
6/24/22,20:00,0,10799,898,0,212,0,49,0,99,395,0,0,0,12452,20.73
6/24/22,21:00,0,9620,911,0,211,324,46,0,3,867,0,0,0,11982,19.5
6/24/22,22:00,0,8307,888,0,212,1761,44,-149,0,1032,0,0,0,12095,18.75
6/24/22,23:00,0,8147,920,1,210,3567,36,-960,0,1115,0,0,0,13036,17.45
6/25/22,0:00,0,8943,932,0,210,5166,28,-1157,0,570,0,0,0,14692,22.7
6/25/22,1:00,0,8805,937,0,211,6247,24,-605,0,319,0,0,0,15938,26.1
6/25/22,2:00,0,9067,934,0,208,7186,20,-816,0,113,0,0,0,16712,26.1
6/25/22,3:00,0,9635,934,0,208,7432,18,-1231,0,197,0,0,0,17193,22.62
6/25/22,4:00,0,10247,913,0,211,6017,25,-1206,0,838,0,0,0,17045,21.36
6/25/22,5:00,0,10162,926,0,208,4921,36,-646,0,1345,0,0,0,16952,19.91
6/25/22,6:00,0,11020,916,0,211,4024,43,-659,0,1131,0,0,0,16686,20.07
6/25/22,7:00,0,11379,952,0,208,2795,60,-312,0,1267,0,0,0,16349,24.01
6/25/22,8:00,0,11752,1124,0,210,1491,108,-216,0,1575,0,0,0,16044,29.04
6/25/22,9:00,0,12170,1235,0,209,528,94,-209,0,1488,0,0,0,15515,34.16
6/25/22,10:00,0,12096,1294,0,211,44,65,0,19,1658,0,0,0,15387,32.28
6/25/22,11:00,0,12028,1349,0,212,0,79,0,34,1485,0,0,0,15187,39.67
6/25/22,12:00,0,11684,1173,0,209,0,68,0,21,1381,0,0,0,14536,35.87
6/25/22,13:00,0,11263,1086,0,210,0,57,0,14,1266,0,0,0,13896,23.71
6/25/22,14:00,0,10791,853,0,211,0,55,0,3,1139,0,0,0,13052,21.77
6/25/22,15:00,0,10269,808,1,212,0,54,0,3,1092,0,0,0,12439,19.98
6/25/22,16:00,0,9778,842,0,211,0,35,0,3,646,0,0,0,11515,25.58
6/25/22,17:00,0,8314,868,0,211,0,19,-169,0,1557,0,0,0,10800,20.59
6/25/22,18:00,0,8217,864,1,211,0,11,0,3,1324,0,0,0,10631,21.16
6/25/22,19:00,0,8823,862,0,212,0,10,0,3,1081,0,0,0,10991,20.64
6/25/22,20:00,0,8679,854,0,212,0,5,0,23,1220,0,0,0,10993,21.16
6/25/22,21:00,0,7707,844,0,211,319,5,0,33,1546,0,0,0,10665,20.35
6/25/22,22:00,0,6847,850,0,211,1823,1,-435,0,1576,0,0,0,10873,17.19
6/25/22,23:00,0,6987,822,1,212,2798,10,-785,0,1513,0,0,0,11558,14.58
6/26/22,0:00,0,7903,839,0,212,2253,17,-217,0,1435,0,0,0,12442,10.85
6/26/22,1:00,0,8421,865,0,211,1374,37,0,506,1801,0,0,0,13215,17.45
6/26/22,2:00,0,8310,859,0,208,2426,30,0,127,1484,0,0,0,13444,21.15
6/26/22,3:00,0,8328,861,0,211,4447,35,-1451,0,1158,0,0,0,13589,19.43
6/26/22,4:00,0,8378,815,0,210,5836,33,-1720,0,465,0,0,0,14017,25.16
6/26/22,5:00,0,8325,809,0,209,6022,60,-1766,0,615,0,0,0,14274,19.42
6/26/22,6:00,0,8759,799,0,209,5220,24,-1604,0,896,0,0,0,14303,20.61
6/26/22,7:00,0,9114,803,0,209,4340,34,-948,0,995,0,0,0,14547,19.28
6/26/22,8:00,0,9718,966,0,209,3047,38,-172,0,850,0,0,0,14656,21.3
6/26/22,9:00,0,10977,1125,0,209,1392,26,-92,0,1183,0,0,0,14820,35.29
6/26/22,10:00,0,12649,1204,0,211,155,27,0,16,452,0,0,0,14714,43.51
6/26/22,11:00,0,13496,1337,0,211,0,24,0,312,0,-667,0,0,14713,30.39
6/26/22,12:00,0,12340,1164,0,208,0,17,0,262,255,0,0,0,14246,34.22
6/26/22,13:00,0,11949,965,0,212,0,13,0,154,347,0,0,0,13640,28.18
6/26/22,14:00,0,11769,703,1,211,0,27,0,148,4,0,0,0,12863,33.14
6/26/22,15:00,0,11187,666,0,211,0,15,0,96,162,0,0,0,12337,24.21
6/26/22,16:00,0,10349,649,0,210,0,12,-156,0,402,0,0,0,11466,21.4
6/26/22,17:00,0,9930,640,0,211,0,12,-606,0,689,0,0,0,10876,18.82
6/26/22,18:00,0,9896,641,1,212,0,24,-566,0,663,0,0,0,10871,18.17
6/26/22,19:00,0,10024,635,0,211,0,25,-248,0,568,0,0,0,11215,17.22
6/26/22,20:00,0,10372,689,0,210,0,30,-4,0,146,0,0,0,11443,16.66
6/26/22,21:00,0,10209,731,0,212,367,23,0,64,71,0,0,0,11677,15.95
6/26/22,22:00,0,9958,748,0,212,2007,10,0,3,0,-62,0,0,12876,16.95
6/26/22,23:00,0,10446,771,1,209,3835,7,0,3,0,-80,0,0,15192,18.3
6/27/22,0:00,0,11777,772,0,209,5574,11,-185,0,666,0,0,0,18824,17.82
6/27/22,1:00,0,13129,877,0,206,6683,23,-35,0,474,0,0,0,21357,29.6
6/27/22,2:00,0,13563,886,0,205,6879,31,-313,0,857,0,0,0,22108,29.72
6/27/22,3:00,0,13861,897,1,206,7047,46,-316,0,942,0,0,0,22684,30.27
6/27/22,4:00,0,14103,854,0,206,6561,59,-553,0,712,0,0,0,21942,23.94
6/27/22,5:00,0,15194,913,0,203,5889,65,-3,0,842,0,0,0,23103,30.39
6/27/22,6:00,0,15644,977,0,204,4693,54,0,1041,425,0,0,0,23038,44.09
6/27/22,7:00,0,15850,1005,0,204,3687,47,0,1982,0,-131,0,0,22644,45.01
6/27/22,8:00,0,15906,1249,1,202,1941,45,0,2146,663,0,0,0,22153,58.46
6/27/22,9:00,0,15863,1440,0,206,1046,44,0,1920,215,0,0,0,20734,52.68
6/27/22,10:00,0,15884,1500,0,218,119,41,0,1850,317,0,0,0,19929,51
6/27/22,11:00,0,15806,1410,0,226,0,48,0,1358,275,0,0,0,19123,51
6/27/22,12:00,0,15513,1243,0,228,0,57,0,790,438,0,0,0,18269,50.33
6/27/22,13:00,0,15122,956,1,227,0,50,0,288,752,0,0,0,17396,46.85
6/27/22,14:00,0,14824,742,0,227,0,43,0,178,591,0,0,0,16605,35.29
6/27/22,15:00,0,14176,708,0,229,0,36,0,43,548,0,0,0,15740,23.18
6/27/22,16:00,0,13094,687,0,229,0,32,-57,0,517,0,0,0,14502,19.4
6/27/22,17:00,0,12894,682,0,226,0,34,-729,0,586,0,0,0,13693,18.33
6/27/22,18:00,0,13098,692,1,229,0,39,-1783,0,1062,0,0,0,13338,19.98
6/27/22,19:00,0,13239,698,0,228,0,27,-1924,0,1181,0,0,0,13449,23.42
6/27/22,20:00,0,13002,703,0,228,0,19,-1918,0,1389,0,0,0,13423,24.21
6/27/22,21:00,0,12885,746,0,228,324,20,-2231,0,1477,0,0,0,13449,27.42
6/27/22,22:00,0,12573,734,0,228,1787,8,-2414,0,1547,0,0,0,14463,25.35
6/27/22,23:00,0,11967,738,1,228,3885,6,-1721,0,1463,0,0,0,16567,23.51
6/28/22,0:00,0,11667,877,0,226,5664,12,-700,0,2364,0,0,0,20110,21.75
6/28/22,1:00,0,12537,940,0,224,6871,8,-252,0,2101,0,0,0,22429,30.52
6/28/22,2:00,0,12353,913,0,224,7522,6,-505,0,2686,0,0,0,23199,30.58
6/28/22,3:00,0,12775,1057,1,225,7693,26,-350,0,2016,0,0,0,23443,31.79
6/28/22,4:00,0,12200,856,0,227,7860,44,-247,0,1711,0,0,0,22651,30.39
6/28/22,5:00,0,13552,1092,0,225,7433,46,-18,0,1497,0,0,0,23827,37.01
6/28/22,6:00,0,14579,1258,0,225,6402,50,0,66,1355,0,0,0,23935,48.02
6/28/22,7:00,0,15156,1393,0,227,5035,37,0,733,997,0,0,0,23578,49.66
6/28/22,8:00,0,15314,1494,1,226,3260,25,0,1890,1170,0,0,0,23380,60.95
6/28/22,9:00,0,15314,1662,0,228,1505,15,0,2296,1056,0,0,0,22076,80
6/28/22,10:00,0,15499,1736,0,229,176,14,0,2174,1109,0,0,0,20937,66.96
6/28/22,11:00,0,15513,1717,0,229,0,20,0,2256,324,0,0,0,20059,57.68
6/28/22,12:00,0,15533,1494,0,229,0,20,0,1587,213,0,0,0,19076,55.01
6/28/22,13:00,0,15179,1084,1,229,0,26,0,527,1049,0,0,0,18095,42.32
6/28/22,14:00,0,14850,859,0,230,0,33,0,35,1148,0,0,0,17155,28.08
6/28/22,15:00,0,14290,774,0,232,0,49,0,34,831,0,0,0,16210,20.96
6/28/22,16:00,0,13687,781,0,231,0,43,-128,0,242,0,0,0,14856,27.78
6/28/22,17:00,0,13511,701,0,231,0,41,-991,0,455,0,0,0,13948,21.59
6/28/22,18:00,0,13363,680,1,230,0,60,-1097,0,338,0,0,0,13575,23.36
6/28/22,19:00,0,13109,747,0,231,0,60,-1098,0,476,0,0,0,13525,26.86
6/28/22,20:00,0,13364,729,0,230,0,43,-1468,0,717,0,0,0,13615,23.15
6/28/22,21:00,0,13282,697,0,231,369,53,-1664,0,654,0,0,0,13622,23.15
6/28/22,22:00,0,13341,663,0,229,2054,30,-2237,0,626,0,0,0,14706,21
6/28/22,23:00,0,13477,704,1,228,4061,19,-2267,0,629,0,0,0,16852,20.1
6/29/22,0:00,0,13381,773,0,228,5763,19,-1586,0,1596,0,0,0,20174,22.58
6/29/22,1:00,0,14186,941,0,225,6978,23,-517,0,687,0,0,0,22523,30.39
6/29/22,2:00,0,13853,1020,0,226,7704,31,-321,0,575,0,0,0,23088,30.39
6/29/22,3:00,0,13765,1024,1,223,8022,49,-269,0,664,0,0,0,23479,30.39
6/29/22,4:00,0,13887,799,0,225,7938,63,-157,0,37,0,0,0,22792,30.29
6/29/22,5:00,0,14541,893,0,225,7423,70,0,29,941,0,0,0,24122,30.49
6/29/22,6:00,0,15525,1050,0,225,6504,78,0,46,827,0,0,0,24255,46.01
6/29/22,7:00,0,16215,1083,0,227,5041,64,0,469,820,0,0,0,23919,80
6/29/22,8:00,0,16331,1351,1,228,3355,50,0,1508,869,0,0,0,23693,80.11
6/29/22,9:00,0,16339,1535,0,228,1557,38,0,1955,578,0,0,0,22230,80.61
6/29/22,10:00,0,16663,1631,0,230,194,32,0,1842,540,0,0,0,21132,85.5
6/29/22,11:00,0,16768,1532,0,229,0,39,0,1691,0,-20,0,0,20239,80.56
6/29/22,12:00,0,16891,1258,0,231,0,37,0,813,0,-39,0,0,19191,70.01
6/29/22,13:00,0,16260,877,1,231,0,27,0,137,688,0,0,0,18221,44.67
6/29/22,14:00,0,15963,706,0,230,0,21,0,85,347,0,0,0,17352,30.15
6/29/22,15:00,0,15444,689,0,229,0,30,0,180,0,-280,0,0,16292,28.74
6/29/22,16:00,0,14041,689,0,230,0,33,-494,0,462,0,0,0,14961,40.69
6/29/22,17:00,0,12870,660,0,232,0,28,-871,0,1141,0,0,0,14060,38.36
6/29/22,18:00,0,12367,644,1,230,0,32,-1076,0,1462,0,0,0,13660,33.45
6/29/22,19:00,0,11974,698,0,231,0,49,-842,0,1633,0,0,0,13743,31.63
6/29/22,20:00,0,11977,678,0,229,0,61,-836,0,1510,0,0,0,13619,32.73
6/29/22,21:00,0,11544,709,0,230,364,52,-1137,0,1793,0,0,0,13555,29.05
6/29/22,22:00,0,11829,639,0,231,2055,38,-1782,0,1631,0,0,0,14641,29.37
6/29/22,23:00,0,12047,698,1,229,4030,32,-1513,0,1139,0,0,0,16663,38.24
6/30/22,0:00,0,13156,758,0,228,5635,34,-1297,0,1584,0,0,0,20098,28.87
6/30/22,1:00,0,13890,938,0,227,6916,42,-100,0,628,0,0,0,22541,31.63
6/30/22,2:00,0,13595,932,0,227,7654,43,-19,0,900,0,0,0,23332,31.73
6/30/22,3:00,0,13892,870,1,225,7966,42,-159,0,1034,0,0,0,23871,35.47
6/30/22,4:00,0,13531,844,0,224,7897,41,-260,0,877,0,0,0,23154,32.87
6/30/22,5:00,0,15369,910,0,220,7179,44,-218,0,783,0,0,0,24287,41.78
6/30/22,6:00,0,17033,1038,0,220,6163,40,0,115,0,-106,0,0,24503,48.51
6/30/22,7:00,0,17521,1093,0,221,4930,35,0,652,0,-166,0,0,24286,50.76
6/30/22,8:00,0,17587,1435,1,220,3290,29,0,1528,0,-103,0,0,23987,70.56
6/30/22,9:00,0,17586,1639,0,221,1501,33,0,1796,0,-111,0,0,22665,81.12
6/30/22,10:00,0,17711,1655,0,223,177,27,0,1984,0,-216,0,0,21561,100
6/30/22,11:00,0,17738,1539,0,223,0,24,0,1723,0,-474,0,0,20773,81
6/30/22,12:00,0,17519,1277,0,224,0,20,0,1001,0,-211,0,0,19830,70.01
6/30/22,13:00,0,16995,747,1,225,0,20,0,379,373,0,0,0,18740,47.68
6/30/22,14:00,0,16426,667,0,228,0,15,0,3,263,0,0,0,17602,44.03
6/30/22,15:00,0,15485,660,0,233,0,16,0,3,167,0,0,0,16564,36.51
6/30/22,16:00,0,13871,662,0,231,0,20,-63,0,378,0,0,0,15099,26.46
6/30/22,17:00,0,13676,673,0,233,0,21,-787,0,299,0,0,0,14115,23.78
6/30/22,18:00,0,13742,675,1,231,0,20,-1055,0,62,0,0,0,13676,21.75
6/30/22,19:00,0,13677,702,0,233,0,20,-1155,0,133,0,0,0,13610,21.86
6/30/22,20:00,0,13628,713,0,230,0,23,-1152,0,70,0,0,0,13512,25.35
6/30/22,21:00,0,13098,688,0,232,336,22,-1249,0,386,0,0,0,13513,22.17
6/30/22,22:00,0,12907,629,0,231,1938,15,-1704,0,567,0,0,0,14583,19.54
6/30/22,23:00,0,13246,633,1,232,3880,10,-1825,0,550,0,0,0,16727,18.23
7/1/22,0:00,0,13538,681,0,228,5575,5,-856,0,868,0,0,0,20039,9.16
7/1/22,1:00,0,14327,754,0,224,6813,2,-17,0,449,0,0,0,22552,27.25
7/1/22,2:00,0,13881,799,0,227,7574,5,0,3,945,0,0,0,23434,30.39
7/1/22,3:00,0,14043,857,0,226,7905,3,0,3,927,0,0,0,23964,30.39
7/1/22,4:00,0,14139,781,1,226,7800,6,0,5,394,0,0,0,23352,26.93
7/1/22,5:00,0,15612,954,0,227,7294,10,0,35,371,0,0,0,24503,30.39
7/1/22,6:00,0,16766,1095,0,225,6302,10,0,97,218,0,0,0,24713,45
7/1/22,7:00,0,17186,1341,0,224,4876,16,0,529,196,0,0,0,24368,40.42
7/1/22,8:00,0,17295,1723,1,227,3043,13,0,1808,0,-97,0,0,24013,90.51
7/1/22,9:00,0,17281,1784,0,227,1324,13,0,1892,0,-158,0,0,22363,81
7/1/22,10:00,0,17191,1825,0,229,158,10,0,1835,0,-226,0,0,21022,100.02
7/1/22,11:00,0,16776,1669,0,229,0,18,0,1614,0,-298,0,0,20008,64.5
7/1/22,12:00,0,16331,1417,0,228,0,16,0,651,350,0,0,0,18993,31.86
7/1/22,13:00,0,16054,975,1,230,0,16,0,26,617,0,0,0,17919,30.39
7/1/22,14:00,0,15883,720,0,231,0,12,0,139,26,0,0,0,17011,22.06
7/1/22,15:00,0,14915,680,0,231,0,13,0,15,240,0,0,0,16094,20.52
7/1/22,16:00,0,12839,678,0,231,0,5,-157,0,1100,0,0,0,14696,42.83
7/1/22,17:00,0,12129,682,0,231,0,5,-573,0,1279,0,0,0,13753,42.81
7/1/22,18:00,0,11793,681,1,230,0,3,-614,0,1179,0,0,0,13273,32.74
7/1/22,19:00,0,11646,729,0,230,0,2,-614,0,1205,0,0,0,13198,41.89
7/1/22,20:00,0,11381,727,0,231,0,3,-511,0,1134,0,0,0,12965,33.05
7/1/22,21:00,0,10187,733,0,231,295,1,0,3,1139,0,0,0,12589,27.52
7/1/22,22:00,0,8969,688,0,231,1717,3,0,3,1158,0,0,0,12769,20.8
7/1/22,23:00,0,8445,671,1,230,3343,1,-188,0,1162,0,0,0,13665,19.47
7/2/22,0:00,0,9242,652,0,229,5173,4,-719,0,779,0,0,0,15360,17.28
7/2/22,1:00,0,9199,702,0,229,6526,5,-730,0,910,0,0,0,16841,17.21
7/2/22,2:00,0,8713,780,0,227,7541,11,-798,0,1179,0,0,0,17653,18.92
7/2/22,3:00,0,8944,799,0,228,7953,11,-802,0,925,0,0,0,18058,17.57
7/2/22,4:00,0,8711,775,0,228,7918,18,-633,0,966,0,0,0,17983,18.16
7/2/22,5:00,0,9498,840,0,229,7476,27,-840,0,1021,0,0,0,18251,20.14
7/2/22,6:00,0,10829,858,0,225,6294,31,-593,0,423,0,0,0,18067,19.27
7/2/22,7:00,0,11573,914,0,229,4747,47,-241,0,567,0,0,0,17836,16.9
7/2/22,8:00,0,12398,1074,0,229,3045,49,-81,0,927,0,0,0,17641,27.28
7/2/22,9:00,0,13360,1294,0,228,1416,40,0,226,595,0,0,0,17159,31.07
7/2/22,10:00,0,14058,1551,0,227,162,30,0,604,183,0,0,0,16815,30.48
7/2/22,11:00,0,14231,1561,0,228,0,24,0,924,0,-376,0,0,16592,33.55
7/2/22,12:00,0,14119,1323,0,228,0,23,0,431,0,-180,0,0,15944,31.4
7/2/22,13:00,0,13005,902,1,229,0,15,0,5,977,0,0,0,15134,38.7
7/2/22,14:00,0,12207,730,0,228,0,8,0,47,1137,0,0,0,14357,39.89
7/2/22,15:00,0,11694,647,0,230,0,4,0,3,1129,0,0,0,13707,28.87
7/2/22,16:00,0,10271,698,0,230,0,3,0,3,1462,0,0,0,12667,27.32
7/2/22,17:00,0,9789,690,0,228,0,1,-154,0,1310,0,0,0,11864,21.96
7/2/22,18:00,0,10027,637,1,229,0,2,-357,0,1125,0,0,0,11664,21.51
7/2/22,19:00,0,10261,678,0,230,0,4,-355,0,936,0,0,0,11754,19.66
7/2/22,20:00,0,9736,693,0,231,0,3,-68,0,1091,0,0,0,11686,20.16
7/2/22,21:00,0,9454,698,0,231,61,3,0,3,1101,0,0,0,11551,19.08
7/2/22,22:00,0,9842,644,0,231,396,1,0,45,365,0,0,0,11524,17.45
7/2/22,23:00,0,10203,677,1,229,886,0,0,239,0,-151,0,0,12084,19.42
7/3/22,0:00,0,10540,611,0,231,1093,4,0,139,452,0,0,0,13070,16.74
7/3/22,1:00,0,10951,650,0,231,1529,13,-25,0,545,0,0,0,13894,18.22
7/3/22,2:00,0,11040,757,0,228,1681,17,-421,0,799,0,0,0,14101,19.53
7/3/22,3:00,0,10863,788,0,230,1680,32,-599,0,1192,0,0,0,14186,22.58
7/3/22,4:00,0,11352,787,0,229,1498,21,-742,0,929,0,0,0,14074,21.98
7/3/22,5:00,0,11710,840,0,229,983,26,-631,0,659,0,0,0,13816,22.15
7/3/22,6:00,0,11153,879,0,232,599,26,-268,0,962,0,0,0,13583,22.49
7/3/22,7:00,0,10696,917,0,229,465,5,0,70,1099,0,0,0,13481,19.27
7/3/22,8:00,0,11624,1142,0,227,228,3,0,70,454,0,0,0,13748,19.36
7/3/22,9:00,0,11741,1320,0,229,61,1,0,71,612,0,0,0,14035,19.53
7/3/22,10:00,0,11820,1390,0,228,3,1,0,70,641,0,0,0,14153,21.84
7/3/22,11:00,0,12123,1254,0,226,0,2,0,45,409,0,0,0,14059,21.43
7/3/22,12:00,0,11901,1177,0,227,0,11,0,3,382,0,0,0,13701,19.49
7/3/22,13:00,0,11145,1006,1,229,0,11,0,80,717,0,0,0,13189,19.84
7/3/22,14:00,0,10717,798,0,229,0,5,0,143,643,0,0,0,12535,27.74
7/3/22,15:00,0,10402,771,0,231,0,6,0,68,673,0,0,0,12151,21.02
7/3/22,16:00,0,9737,830,0,202,0,7,0,3,595,0,0,0,11374,22.09
7/3/22,17:00,0,9065,855,0,149,0,9,0,3,783,0,0,0,10864,20.13
7/3/22,18:00,0,8986,859,1,139,0,12,-209,0,1084,0,0,0,10872,20.27
7/3/22,19:00,0,8955,761,0,139,0,14,-38,0,1353,0,0,0,11184,20.06
7/3/22,20:00,0,9103,752,0,139,0,15,0,3,1309,0,0,0,11321,19.8
7/3/22,21:00,0,9345,755,0,137,17,10,0,3,1375,0,0,0,11642,19.65
7/3/22,22:00,0,9970,771,0,137,238,5,0,52,1461,0,0,0,12634,19.75
7/3/22,23:00,0,11547,804,1,130,796,1,0,3,1466,0,0,0,14748,25.99
7/4/22,0:00,0,14341,875,0,131,1056,3,0,175,1238,0,0,0,17819,34.42
7/4/22,1:00,0,15129,1003,0,132,1437,5,0,490,1590,0,0,0,19786,48.14
7/4/22,2:00,0,14992,1128,0,132,2174,6,0,214,1492,0,0,0,20138,44.93
7/4/22,3:00,0,15262,1174,1,130,1984,8,0,308,1425,0,0,0,20292,45.01
7/4/22,4:00,0,14532,1129,0,132,1713,6,0,36,1543,0,0,0,19091,28.42
7/4/22,5:00,0,14925,1223,0,132,1383,1,0,3,2092,0,0,0,19759,43.87
7/4/22,6:00,0,15026,1449,0,133,1116,4,0,34,2004,0,0,0,19766,45.84
7/4/22,7:00,0,14644,1553,0,138,1112,15,0,35,1770,0,0,0,19267,45.84
7/4/22,8:00,0,14699,1687,1,136,1062,24,0,37,1299,0,0,0,18945,45.84
7/4/22,9:00,0,15162,1679,0,136,488,23,0,242,288,0,0,0,18018,45.42
7/4/22,10:00,0,14491,1728,0,139,46,24,0,80,1034,0,0,0,17542,32.71
7/4/22,11:00,0,14461,1640,0,138,0,25,0,35,761,0,0,0,17060,31.36
7/4/22,12:00,0,13665,1505,0,139,0,28,0,36,966,0,0,0,16339,24.61
7/4/22,13:00,0,12804,1483,1,139,0,32,0,36,1321,0,0,0,15816,20.57
7/4/22,14:00,0,13167,1398,0,139,0,21,0,3,583,0,0,0,15311,19.35
7/4/22,15:00,0,12597,1391,0,138,0,14,0,3,723,0,0,0,14866,19.33
7/4/22,16:00,0,11034,1363,0,138,0,15,0,3,1309,0,0,0,13862,24.1
7/4/22,17:00,0,10300,1363,0,139,0,17,0,3,1332,0,0,0,13154,20.41
7/4/22,18:00,0,10195,1358,1,138,0,20,0,3,1186,0,0,0,12901,21.48
7/4/22,19:00,0,10582,1328,0,139,0,34,0,3,1004,0,0,0,13090,19.06
7/4/22,20:00,0,10762,1334,0,139,0,38,0,3,941,0,0,0,13217,19.06
7/4/22,21:00,0,10368,1445,0,137,51,32,0,3,1242,0,0,0,13278,19.68
7/4/22,22:00,0,10481,1330,0,138,375,37,-49,0,1455,0,0,0,13767,20.59
7/4/22,23:00,0,12141,1335,1,139,795,48,-225,0,1096,0,0,0,15330,24.1
7/5/22,0:00,0,13852,1357,0,135,1077,56,-103,0,1651,0,0,0,18025,32.24
7/5/22,1:00,0,14757,1420,0,135,1089,66,0,34,2144,0,0,0,19645,45.51
7/5/22,2:00,0,14299,1495,0,134,1567,65,0,34,2247,0,0,0,19841,44.09
7/5/22,3:00,0,13757,1579,1,136,2523,68,0,34,1690,0,0,0,19788,41.77
7/5/22,4:00,0,12526,1463,0,134,3080,52,-160,0,1650,0,0,0,18745,23.18
7/5/22,5:00,0,13326,1523,0,133,3848,27,-1,0,1320,0,0,0,20176,42.51
7/5/22,6:00,0,14379,1684,0,135,3056,18,0,33,1157,0,0,0,20462,45.84
7/5/22,7:00,0,14098,1793,0,134,2283,11,0,35,1667,0,0,0,20021,45.84
7/5/22,8:00,0,14716,1804,0,133,1287,16,0,108,1681,0,0,0,19745,45.84
7/5/22,9:00,0,14816,1818,1,135,385,11,0,231,1330,0,0,0,18727,45.84
7/5/22,10:00,0,14516,1856,0,134,59,12,0,186,1379,0,0,0,18142,36.37
7/5/22,11:00,0,14569,1839,0,135,0,6,0,135,972,0,0,0,17656,26.57
7/5/22,12:00,0,14498,1756,0,136,0,10,0,109,472,0,0,0,16981,19.95
7/5/22,13:00,0,13367,1766,1,134,0,12,0,50,883,0,0,0,16213,20.47
7/5/22,14:00,0,12596,1698,0,136,0,15,0,36,1134,0,0,0,15615,20.63
7/5/22,15:00,0,12065,1689,0,153,0,22,0,35,1096,0,0,0,15060,19.79
