,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
4/3/22,10:00,0,2234,1431,0,119,2,16,0,84,0,-863,0,0,3023,19.3
4/3/22,11:00,0,2235,1368,0,119,0,14,0,0,0,-728,0,0,3008,23.81
4/3/22,12:00,0,2215,1372,0,120,0,18,0,0,0,-784,0,0,2940,22.74
4/3/22,13:00,0,2174,1241,0,118,0,22,0,0,0,-728,0,0,2828,23.63
4/3/22,14:00,0,2157,1160,0,118,0,16,0,0,0,-686,0,0,2766,24.98
4/3/22,15:00,0,2009,1197,0,118,0,13,0,0,0,-607,0,0,2730,18
4/3/22,16:00,0,1986,1126,0,120,0,15,0,0,0,-583,0,0,2663,14.74
4/3/22,17:00,0,2009,1237,0,119,0,9,0,0,0,-610,0,0,2764,16.73
4/3/22,18:00,0,2071,1381,0,119,0,8,0,0,0,-587,0,0,2992,17.02
4/3/22,19:00,0,2168,1441,0,119,0,11,0,0,0,-567,0,0,3171,17.3
4/3/22,20:00,0,2209,1466,0,120,0,15,0,0,0,-569,0,0,3240,19.2
4/3/22,21:00,0,2136,1519,0,118,3,14,0,0,0,-536,0,0,3254,27.85
4/3/22,22:00,0,2070,1486,0,117,66,9,0,0,0,-568,0,0,3179,33.18
4/3/22,23:00,0,2013,1365,0,117,268,4,0,26,0,-671,0,0,3121,31.84
4/4/22,0:00,0,1825,1381,0,117,540,1,0,50,0,-546,0,0,3368,24.54
4/4/22,1:00,0,1812,1360,0,116,703,6,0,49,0,-575,0,0,3471,26.03
4/4/22,2:00,0,1743,1420,0,118,784,14,0,0,0,-606,0,0,3473,19.01
4/4/22,3:00,0,1623,1356,0,117,851,19,0,0,0,-470,0,0,3496,19.74
4/4/22,4:00,0,1561,1076,0,118,829,20,0,0,0,-343,0,0,3262,16.8
4/4/22,5:00,0,1752,1113,0,77,773,23,0,0,0,-325,0,0,3413,19.27
4/4/22,6:00,0,1942,1150,0,77,573,27,0,0,0,-394,0,0,3374,19.74
4/4/22,7:00,0,2143,1261,0,78,329,26,0,0,0,-445,0,0,3391,22.12
4/4/22,8:00,0,2294,1362,0,79,183,16,0,0,0,-514,0,0,3419,31.96
4/4/22,9:00,0,2458,1354,0,85,59,14,0,50,0,-626,0,0,3392,36.51
4/4/22,10:00,0,2462,1482,0,94,2,11,0,94,0,-665,0,0,3479,45.03
4/4/22,11:00,0,2455,1375,0,93,0,12,0,94,0,-637,0,0,3392,36.08
4/4/22,12:00,0,2335,1525,0,79,0,11,0,90,0,-749,0,0,3291,35.2
4/4/22,13:00,0,2279,1503,0,85,0,8,0,0,0,-682,0,0,3193,35.62
4/4/22,14:00,0,2217,1511,0,85,0,5,0,0,0,-672,0,0,3146,29.32
4/4/22,15:00,0,2202,1468,0,78,0,4,0,0,0,-687,0,0,3064,17.68
4/4/22,16:00,0,2214,1436,0,76,0,2,0,0,0,-756,0,0,2972,15.72
4/4/22,17:00,0,2260,1480,0,77,0,1,0,0,0,-743,0,0,3075,16.67
4/4/22,18:00,0,2294,1594,0,76,0,1,0,0,0,-664,0,0,3300,19.44
4/4/22,19:00,0,2398,1597,0,77,0,0,0,0,0,-615,0,0,3457,19.6
4/4/22,20:00,0,2435,1596,0,76,0,0,0,1,0,-602,0,0,3505,20.21
4/4/22,21:00,0,2582,1536,0,76,4,0,0,94,0,-788,0,0,3503,29.32
4/4/22,22:00,0,2480,1427,0,76,64,0,0,94,0,-709,0,0,3432,37.32
4/4/22,23:00,0,2418,1289,0,75,210,0,0,51,0,-661,0,0,3381,17.06
4/5/22,0:00,0,2309,1218,0,74,387,0,0,49,0,-502,0,0,3536,12.53
4/5/22,1:00,0,2113,1202,0,76,605,0,0,0,0,-319,0,0,3677,12.07
4/5/22,2:00,0,1883,1114,0,75,840,2,-122,0,0,-165,0,0,3626,9.82
