,,Kansai,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kansai
5/13/22,7:00,2064,10030,2354,0,64,537,21,0,123,1582,0,0,0,16775,23.54
5/13/22,8:00,2065,10308,2386,0,64,325,42,0,112,1599,0,0,0,16902,26.87
5/13/22,9:00,2065,9945,2378,0,64,177,53,0,152,1723,0,0,0,16558,23.03
5/13/22,10:00,2065,9877,2266,0,64,35,58,0,186,1701,0,0,0,16252,22.99
5/13/22,11:00,2066,9151,2193,0,64,0,65,0,100,2036,0,0,0,15674,22.95
5/13/22,12:00,2065,8826,1959,0,64,0,69,0,209,1779,0,0,0,14970,21.62
5/13/22,13:00,2064,8689,1929,0,64,0,72,0,22,1543,0,0,0,14383,20.34
5/13/22,14:00,2065,7730,1930,0,64,0,93,0,106,1912,0,0,0,13900,19.46
5/13/22,15:00,2065,7322,1842,0,64,0,104,0,116,1860,0,0,0,13373,17.47
5/13/22,16:00,2065,6972,1711,0,64,0,28,-292,0,1909,0,0,0,12457,19.94
5/13/22,17:00,2065,6540,1726,0,64,0,16,-524,0,2080,0,0,0,11968,19.57
5/13/22,18:00,2065,7033,1764,0,64,0,12,-214,0,1524,0,0,0,12248,19.79
5/13/22,19:00,2065,7767,1815,0,64,0,26,0,1,1095,0,0,0,12833,21.63
5/13/22,20:00,2065,7849,1813,0,64,0,39,0,118,833,0,0,0,12782,22.71
5/13/22,21:00,2066,6827,2041,0,64,75,65,0,126,974,0,0,0,12238,21.37
5/13/22,22:00,2066,6036,1887,0,64,415,79,-141,0,1638,0,0,0,12043,20.14
5/13/22,23:00,2066,5612,1902,0,64,657,71,-422,0,2610,0,0,0,12561,16.74
5/14/22,0:00,2065,5522,1953,0,64,911,85,0,2,3066,0,0,0,13668,14.48
5/14/22,1:00,2065,5730,2008,0,64,1252,88,0,15,3207,0,0,0,14430,5.39
5/14/22,2:00,2065,5780,2009,0,64,1529,91,0,221,2889,0,0,0,14648,0.01
5/14/22,3:00,2065,5460,1911,0,64,1488,97,0,54,3430,0,0,0,14569,0.01
5/14/22,4:00,2064,4645,1825,0,64,2051,113,-1298,0,4334,0,0,0,13799,0.01
5/14/22,5:00,2064,5462,1810,0,64,2597,102,-1471,0,3369,0,0,0,13997,0.01
5/14/22,6:00,2064,5334,1770,0,64,2891,87,-1324,0,2959,0,0,0,13845,0.01
5/14/22,7:00,2064,5468,1813,0,64,2914,67,-1104,0,2507,0,0,0,13793,0.02
5/14/22,8:00,2063,5665,1895,0,64,2067,62,-213,0,2259,0,0,0,13862,13.5
5/14/22,9:00,2063,6406,2013,0,64,1060,55,0,203,2117,0,0,0,13980,20.28
5/14/22,10:00,2063,7067,2218,0,64,206,51,0,275,2111,0,0,0,14055,22.01
5/14/22,11:00,2064,6941,2265,0,64,0,52,0,419,2154,0,0,0,13959,21.79
5/14/22,12:00,2064,6718,2158,0,64,0,51,0,571,1873,0,0,0,13499,20.57
5/14/22,13:00,2065,6693,2011,0,64,0,41,0,414,1594,0,0,0,12882,20.01
5/14/22,14:00,2065,6326,1978,0,64,0,38,0,283,1440,0,0,0,12194,20.98
5/14/22,15:00,2065,5715,1971,0,64,0,57,0,188,1690,0,0,0,11750,20.15
5/14/22,16:00,2065,4677,1850,0,64,0,72,0,37,2292,0,0,0,11057,18.2
5/14/22,17:00,2065,4829,1889,0,64,0,85,-341,0,2081,0,0,0,10672,12.46
5/14/22,18:00,2065,5308,1954,0,64,0,68,-335,0,2008,0,0,0,11132,16.99
5/14/22,19:00,2064,5561,2028,0,64,0,60,0,108,1875,0,0,0,11760,19.35
5/14/22,20:00,2063,5405,2030,0,64,0,70,0,126,2099,0,0,0,11857,19.36
5/14/22,21:00,2063,4733,2218,0,64,187,55,-12,0,2096,0,0,0,11404,15.33
5/14/22,22:00,2063,4513,1907,0,64,740,60,-645,0,2137,0,0,0,10839,3.43
5/14/22,23:00,2063,4282,1878,0,64,1277,45,-1211,0,2495,0,0,0,10893,0.02
5/15/22,0:00,2063,4400,1874,0,64,1803,31,-1598,0,2734,0,0,0,11371,0.02
5/15/22,1:00,2063,3995,1833,0,64,2611,27,-1873,0,3111,0,0,0,11831,1.5
5/15/22,2:00,2063,3808,1806,0,64,3120,22,-1906,0,3233,0,0,0,12210,0.51
5/15/22,3:00,2063,3978,1789,0,64,2830,17,-1864,0,3455,0,0,0,12332,0.8
5/15/22,4:00,2063,3985,1802,0,64,1885,17,-1122,0,3682,0,0,0,12376,2
5/15/22,5:00,2063,4204,1831,0,64,1237,17,-952,0,3830,0,0,0,12294,3.33
5/15/22,6:00,2064,4384,1834,0,64,977,15,-709,0,3660,0,0,0,12290,3.82
5/15/22,7:00,2064,4387,2041,0,64,886,15,-528,0,3370,0,0,0,12299,12.54
5/15/22,8:00,2064,5256,2204,0,64,764,7,-165,0,2409,0,0,0,12604,11.48
5/15/22,9:00,2064,5921,2366,0,64,345,12,0,220,2170,0,0,0,13162,19.07
5/15/22,10:00,2064,6745,2401,0,64,79,14,0,289,2074,0,0,0,13730,21.85
5/15/22,11:00,2064,7058,2424,0,64,0,7,0,266,1966,0,0,0,13849,21.91
5/15/22,12:00,2064,6772,1976,0,64,0,6,0,210,2284,0,0,0,13376,20.5
5/15/22,13:00,2064,6637,2075,0,64,0,9,0,138,1745,0,0,0,12733,20.05
5/15/22,14:00,2065,5747,1914,0,64,0,11,0,125,2222,0,0,0,12147,19.84
5/15/22,15:00,2065,5252,1819,0,64,0,10,0,87,2335,0,0,0,11632,18.4
5/15/22,16:00,2065,5395,1660,0,64,0,8,-566,0,2222,0,0,0,10848,18.43
5/15/22,17:00,2064,5660,1655,0,64,0,6,-892,0,1989,0,0,0,10546,15.88
5/15/22,18:00,2064,5778,1633,0,64,0,6,-521,0,2044,0,0,0,11068,15.28
5/15/22,19:00,2063,6073,1630,0,64,0,6,-56,0,2025,0,0,0,11806,17.53
5/15/22,20:00,2064,6240,1554,0,64,0,6,0,0,2035,0,0,0,11964,19.39
5/15/22,21:00,2065,5848,1411,0,64,89,6,0,71,2282,0,0,0,11836,19.39
5/15/22,22:00,2066,5869,1469,0,64,544,7,0,250,1886,0,0,0,12154,19.43
5/15/22,23:00,2066,6204,1524,0,64,963,7,0,235,1903,0,0,0,12967,19.92
5/16/22,0:00,2065,6896,1926,0,64,1752,9,0,58,1570,0,0,0,14341,21.23
5/16/22,1:00,2065,7491,1990,0,64,2523,10,-274,0,1604,0,0,0,15472,21.26
5/16/22,2:00,2064,7019,2103,0,64,2721,12,-617,0,2195,0,0,0,15561,20.89
5/16/22,3:00,2064,7465,2185,0,64,2968,14,-591,0,1464,0,0,0,15634,20.4
5/16/22,4:00,2064,7313,1880,0,64,2593,12,-833,0,1732,0,0,0,14825,15.88
5/16/22,5:00,2063,7544,1934,0,64,2217,10,-479,0,2273,0,0,0,15626,20.62
5/16/22,6:00,2063,6655,2039,0,64,1613,8,0,356,2781,0,0,0,15579,20.98
5/16/22,7:00,2063,7068,2454,0,64,1609,9,0,395,1958,0,0,0,15620,21.79
5/16/22,8:00,2063,8742,2484,0,64,1188,11,0,391,805,0,0,0,15749,24.36
5/16/22,9:00,2063,8718,2505,0,64,583,11,0,167,1371,0,0,0,15483,24.87
5/16/22,10:00,2063,9365,2161,0,64,131,15,0,171,1471,0,0,0,15440,24.87
5/16/22,11:00,2063,9424,2096,0,64,0,15,0,308,1176,0,0,0,15146,24.71
5/16/22,12:00,2062,8840,1918,0,64,0,19,0,181,1372,0,0,0,14458,23.92
5/16/22,13:00,2062,8341,1880,0,64,0,19,0,102,1399,0,0,0,13868,22.09
5/16/22,14:00,2063,8009,1814,0,64,0,14,0,103,1331,0,0,0,13398,20.64
5/16/22,15:00,2062,7373,1792,0,64,0,10,-178,0,1700,0,0,0,12823,18.45
5/16/22,16:00,2062,6582,1679,0,64,0,6,-774,0,2239,0,0,0,11859,19.56
5/16/22,17:00,2062,6437,1661,0,64,0,6,-791,0,2015,0,0,0,11455,19.56
5/16/22,18:00,2062,6829,1664,0,64,0,6,-273,0,1559,0,0,0,11910,19.57
5/16/22,19:00,2062,7470,1665,0,64,0,6,0,92,1252,0,0,0,12612,19.62
5/16/22,20:00,2063,7457,1641,0,64,0,6,0,163,1370,0,0,0,12765,19.85
5/16/22,21:00,2063,6944,1620,0,64,85,6,0,121,1652,0,0,0,12556,19.64
5/16/22,22:00,2063,6249,1619,0,64,365,8,0,209,2137,0,0,0,12714,19.51
5/16/22,23:00,2063,6476,1694,0,64,567,13,0,59,2638,0,0,0,13574,17.19
5/17/22,0:00,2064,7467,1944,0,64,617,13,0,636,2369,0,0,0,15173,19.48
5/17/22,1:00,2064,8123,2130,0,64,828,11,0,1044,1878,0,0,0,16142,19.59
5/17/22,2:00,2064,8080,2151,0,64,1012,9,0,1308,1466,0,0,0,16153,17.05
5/17/22,3:00,2064,7007,2043,0,64,1646,10,0,659,2493,0,0,0,15987,19.41
5/17/22,4:00,2063,6104,1800,0,64,2849,13,-176,0,2416,0,0,0,15133,16.8
5/17/22,5:00,2064,6782,1939,0,64,3217,12,-73,0,2128,0,0,0,16133,18.25
5/17/22,6:00,2064,7189,2024,0,64,2414,10,0,769,1646,0,0,0,16181,19.67
5/17/22,7:00,2064,7209,2125,0,64,1730,8,0,681,2035,0,0,0,15917,19.72
5/17/22,8:00,2064,8799,2349,0,64,1175,7,0,36,1681,0,0,0,16175,20.58
5/17/22,9:00,2064,8425,2488,0,64,391,7,0,0,2248,0,0,0,15688,20.21
5/17/22,10:00,2064,9079,2493,0,64,107,6,0,28,1648,0,0,0,15489,23.6
5/17/22,11:00,2064,9222,2296,0,64,0,6,0,277,1414,0,0,0,15344,24.53
5/17/22,12:00,2064,8934,2087,0,64,0,8,0,222,1299,0,0,0,14676,24.13
5/17/22,13:00,2064,8383,1800,0,64,0,7,0,123,1609,0,0,0,14051,21.83
5/17/22,14:00,2064,7721,1758,0,64,0,6,0,49,1887,0,0,0,13549,20.09
5/17/22,15:00,2064,7337,1644,0,64,0,6,0,0,1871,0,0,0,12987,18.36
5/17/22,16:00,2063,6512,1681,0,64,0,6,-387,0,2119,0,0,0,12058,19.93
5/17/22,17:00,2064,6426,1672,0,64,0,6,-618,0,1954,0,0,0,11567,19.87
5/17/22,18:00,2063,6738,1917,0,64,0,6,-561,0,1861,0,0,0,12089,19.91
5/17/22,19:00,2064,7252,2050,0,64,0,6,-76,0,1443,0,0,0,12802,19.95
5/17/22,20:00,2064,7375,2018,0,64,0,6,0,0,1445,0,0,0,12972,20.31
5/17/22,21:00,2064,6920,1703,0,64,217,6,-31,0,1756,0,0,0,12700,20.11
5/17/22,22:00,2065,6108,1591,0,64,1012,7,-474,0,2461,0,0,0,12834,17.58
5/17/22,23:00,2065,5942,1573,0,64,2218,9,-816,0,2372,0,0,0,13427,11.24
5/18/22,0:00,2064,5928,1579,0,64,3469,11,-180,0,2038,0,0,0,14973,12.87
5/18/22,1:00,2064,5723,1614,0,64,4434,14,0,226,2144,0,0,0,16284,4.65
5/18/22,2:00,2064,6051,1640,0,64,5078,17,0,235,1594,0,0,0,16743,9.21
5/18/22,3:00,2064,6277,1632,0,64,5368,25,0,152,1418,0,0,0,17002,1.01
5/18/22,4:00,2064,5583,1626,0,64,5322,32,-609,0,2158,0,0,0,16241,0.01
5/18/22,5:00,2064,6009,1876,0,64,4998,34,0,320,1549,0,0,0,16915,2.33
5/18/22,6:00,2064,6278,1976,0,64,4351,27,0,429,1659,0,0,0,16848,13.94
5/18/22,7:00,2063,6783,2058,0,64,3449,20,0,578,1714,0,0,0,16729,12.88
5/18/22,8:00,2063,7959,2235,0,64,2349,11,0,775,1352,0,0,0,16809,21.67
5/18/22,9:00,2063,8863,2434,0,64,1192,8,0,581,1066,0,0,0,16271,24.15
5/18/22,10:00,2064,9222,2499,0,64,252,10,0,461,1214,0,0,0,15787,24.53
5/18/22,11:00,2064,9067,2464,0,64,0,13,0,305,1435,0,0,0,15412,24.53
5/18/22,12:00,2064,9130,2100,0,64,0,15,0,127,1196,0,0,0,14696,24.87
5/18/22,13:00,2063,8775,1989,0,64,0,14,0,19,1051,0,0,0,13975,25.18
5/18/22,14:00,2063,8399,1845,0,64,0,9,0,122,1003,0,0,0,13506,23.94
5/18/22,15:00,2065,7458,1789,0,64,0,9,0,11,1524,0,0,0,12920,19.99
5/18/22,16:00,2065,6786,1608,0,64,0,2,0,0,1483,0,0,0,12008,19.6
5/18/22,17:00,2065,6691,1603,0,64,0,1,0,0,1206,0,0,0,11630,19.7
5/18/22,18:00,2065,7098,1670,0,64,0,0,0,0,1131,0,0,0,12028,19.67
5/18/22,19:00,2065,7359,2081,0,64,0,0,0,0,1179,0,0,0,12748,19.57
5/18/22,20:00,2065,7547,2199,0,64,0,0,0,0,1011,0,0,0,12886,20
5/18/22,21:00,2065,7332,1612,0,64,309,0,0,120,1256,0,0,0,12758,19.75
5/18/22,22:00,2066,6471,1437,0,64,1303,1,0,171,1356,0,0,0,12870,16.68
5/18/22,23:00,2066,5868,1443,0,64,2377,3,0,148,1539,0,0,0,13508,4.65
5/19/22,0:00,2066,6678,1455,0,64,3304,5,0,160,1367,0,0,0,15099,12.37
5/19/22,1:00,2065,6625,1556,0,64,3931,6,0,141,1927,0,0,0,16315,16.65
5/19/22,2:00,2065,6363,1596,0,64,4247,7,0,143,2185,0,0,0,16670,16.55
5/19/22,3:00,2065,6873,1626,0,64,4116,7,0,141,1866,0,0,0,16759,13.1
5/19/22,4:00,2064,6101,1489,0,64,4028,8,0,158,2068,0,0,0,15981,7.54
5/19/22,5:00,2064,6942,1929,0,64,3932,9,0,139,1914,0,0,0,16992,14.27
5/19/22,6:00,2064,7501,2043,0,64,3445,9,0,236,1690,0,0,0,17051,14.1
5/19/22,7:00,2064,8170,2184,0,64,2475,11,0,279,1605,0,0,0,16853,17.43
5/19/22,8:00,2064,9082,2450,0,64,1537,14,0,394,1084,0,0,0,16688,23.08
5/19/22,9:00,2063,8871,2483,0,64,659,10,0,409,1558,0,0,0,16118,23.48
5/19/22,10:00,2063,9206,2491,0,64,149,13,0,469,1442,0,0,0,15898,23.97
5/19/22,11:00,2062,8841,2398,0,64,0,13,0,383,1781,0,0,0,15541,23.48
5/19/22,12:00,2060,8684,2096,0,64,0,15,0,239,1640,0,0,0,14798,20.97
5/19/22,13:00,2060,8824,1745,0,64,0,15,0,79,1361,0,0,0,14148,23.01
5/19/22,14:00,2061,8796,1644,0,64,0,7,0,0,1051,0,0,0,13622,22.19
5/19/22,15:00,2062,8082,1597,0,64,0,11,0,0,1215,0,0,0,13030,20.01
5/19/22,16:00,2062,7241,1554,0,64,0,11,-216,0,1385,0,0,0,12100,19.81
5/19/22,17:00,2063,7349,1516,0,64,0,5,-706,0,1330,0,0,0,11621,19.43
5/19/22,18:00,2062,7822,1517,0,64,0,3,-684,0,1281,0,0,0,12066,19.64
5/19/22,19:00,2062,8379,1498,0,64,0,3,-354,0,1067,0,0,0,12719,20.27
5/19/22,20:00,2063,8388,1582,0,64,0,1,-648,0,1392,0,0,0,12841,19.84
5/19/22,21:00,2064,7709,1423,0,64,101,0,-60,0,1262,0,0,0,12565,18.98
5/19/22,22:00,2065,7664,1228,0,64,540,1,-304,0,1450,0,0,0,12709,15.96
5/19/22,23:00,2065,7112,1282,0,64,912,2,-319,0,2379,0,0,0,13497,16.66
5/20/22,0:00,2064,7510,1694,0,64,1289,3,0,110,2324,0,0,0,15058,16.25
5/20/22,1:00,2064,9044,1993,0,64,1849,5,0,193,964,0,0,0,16176,17.11
5/20/22,2:00,2064,9786,1928,0,64,1971,3,0,184,429,0,0,0,16429,17.37
5/20/22,3:00,2064,9530,1897,0,64,2080,4,0,187,568,0,0,0,16393,16.49
5/20/22,4:00,2064,8576,1521,0,64,2076,3,0,0,1326,0,0,0,15631,14.57
5/20/22,5:00,2064,9081,1904,0,64,1941,5,0,0,1231,0,0,0,16290,16.66
5/20/22,6:00,2064,8102,2208,0,64,2464,6,0,139,1263,0,0,0,16309,19.47
5/20/22,7:00,2063,9184,2419,0,64,1705,6,0,145,1001,0,0,0,16587,18.14
5/20/22,8:00,2062,9706,2430,0,64,884,7,0,21,1175,0,0,0,16349,20.19
5/20/22,9:00,2063,9400,2427,0,64,398,11,0,151,1344,0,0,0,15859,20.69
5/20/22,10:00,2063,9589,2429,0,64,71,20,0,310,1171,0,0,0,15718,22.83
5/20/22,11:00,2063,9179,2187,0,64,0,31,0,406,1438,0,0,0,15369,23.97
5/20/22,12:00,2063,8784,1882,0,64,0,22,0,439,1378,0,0,0,14632,20.69
5/20/22,13:00,2063,8343,1683,0,64,0,7,0,501,1366,0,0,0,14027,20.36
5/20/22,14:00,2062,8190,1589,0,64,0,3,0,492,1269,0,0,0,13670,21.77
5/20/22,15:00,2063,7737,1575,0,64,0,2,0,307,1431,0,0,0,13178,18.88
5/20/22,16:00,2063,7078,1393,0,64,0,1,0,237,1326,0,0,0,12161,19.29
5/20/22,17:00,2063,6940,1334,0,64,0,0,0,174,1071,0,0,0,11646,18.86
5/20/22,18:00,2063,7569,1329,0,64,0,1,0,183,843,0,0,0,12053,18.9
5/20/22,19:00,2062,7807,1344,0,64,0,5,0,165,1201,0,0,0,12648,19.31
5/20/22,20:00,2063,7699,1490,0,64,0,5,0,171,1115,0,0,0,12606,19.7
5/20/22,21:00,2063,7229,1376,0,64,88,5,0,182,1186,0,0,0,12193,19.1
5/20/22,22:00,2064,6751,1085,0,64,383,5,0,161,1572,0,0,0,12084,17.47
5/20/22,23:00,2064,6426,1037,0,64,565,2,-15,0,2439,0,0,0,12582,13.1
5/21/22,0:00,2063,7028,1178,0,64,713,6,-23,0,2518,0,0,0,13547,14.15
5/21/22,1:00,2063,6906,1383,0,64,837,6,-108,0,3065,0,0,0,14216,16.51
5/21/22,2:00,2063,6533,1618,0,64,1214,2,-480,0,3185,0,0,0,14199,17.29
5/21/22,3:00,2063,6693,1741,0,64,1419,2,-597,0,3021,0,0,0,14407,16.16
5/21/22,4:00,2063,5856,1583,0,64,1561,4,-686,0,3245,0,0,0,13690,15.06
5/21/22,5:00,2063,6957,1824,0,64,1713,2,-733,0,2144,0,0,0,14034,10.04
5/21/22,6:00,2063,6608,2106,0,64,1185,2,-565,0,2703,0,0,0,14165,13.74
5/21/22,7:00,2063,6676,2054,0,64,895,1,-242,0,2610,0,0,0,14123,13.85
5/21/22,8:00,2063,6692,2208,0,64,584,1,0,145,2516,0,0,0,14273,18.51
5/21/22,9:00,2063,7300,2299,0,64,281,0,0,132,2272,0,0,0,14411,19.41
5/21/22,10:00,2063,7892,2293,0,62,86,0,0,156,1863,0,0,0,14416,20.43
5/21/22,11:00,2063,8094,2216,0,61,0,0,0,147,1686,0,0,0,14266,21.99
5/21/22,12:00,2062,8226,1547,0,61,0,1,0,164,1684,0,0,0,13745,21.37
5/21/22,13:00,2063,7986,1459,0,61,0,2,0,150,1345,0,0,0,13066,20.38
5/21/22,14:00,2063,6767,1416,0,61,0,1,0,148,2001,0,0,0,12456,20.05
5/21/22,15:00,2062,6130,1415,0,61,0,1,0,161,2217,0,0,0,12047,16.43
5/21/22,16:00,2062,5329,1382,0,61,0,1,0,156,2301,0,0,0,11292,18.72
5/21/22,17:00,2063,5105,1378,0,61,0,4,0,165,2062,0,0,0,10838,18.45
5/21/22,18:00,2063,5596,1457,0,61,0,5,0,164,1834,0,0,0,11180,18.64
5/21/22,19:00,2063,5879,1863,0,61,0,12,0,283,1661,0,0,0,11822,18.91
5/21/22,20:00,2063,5576,1895,0,61,1,15,0,324,1929,0,0,0,11864,19.44
5/21/22,21:00,2064,5084,1787,0,61,316,23,0,236,1903,0,0,0,11474,18.75
5/21/22,22:00,2065,4523,1323,0,61,1284,18,-37,0,2013,0,0,0,11250,16.04
5/21/22,23:00,2064,3722,1084,0,61,2407,16,-361,0,2360,0,0,0,11352,0.43
5/22/22,0:00,2064,3156,933,0,61,3528,18,-927,0,3190,0,0,0,12023,0.01
5/22/22,1:00,2064,3116,941,0,61,4453,21,-1152,0,3266,0,0,0,12770,0.01
5/22/22,2:00,2063,3213,929,0,61,5060,22,-1481,0,3512,0,15,0,13379,0.01
5/22/22,3:00,2063,3093,1037,0,61,5324,20,-1915,0,3896,0,22,0,13579,0.01
5/22/22,4:00,2061,3517,1066,0,61,5279,21,-2033,0,3741,0,22,0,13713,0.01
5/22/22,5:00,2060,3389,1118,0,61,4955,20,-1660,0,3715,0,0,0,13658,0.01
5/22/22,6:00,2059,3613,1295,0,61,4314,19,-1005,0,3221,0,0,0,13577,0.02
5/22/22,7:00,2059,4562,1435,0,61,3440,14,-325,0,2349,0,0,0,13595,0.01
5/22/22,8:00,2059,5646,1715,0,61,2366,6,-173,0,2202,0,0,0,13882,0.01
5/22/22,9:00,2060,6139,2172,0,61,1202,6,0,235,2411,0,0,0,14287,9.98
5/22/22,10:00,2060,6685,2226,0,61,266,7,0,316,2660,0,0,0,14280,16.9
5/22/22,11:00,2061,7265,2227,0,61,0,14,0,233,2424,0,0,0,14284,16.47
5/22/22,12:00,2062,7333,2044,0,61,0,15,0,117,2172,0,0,0,13804,17.14
5/22/22,13:00,2062,7055,1838,0,61,0,14,0,112,2000,0,0,0,13142,17.82
5/22/22,14:00,2062,6130,1517,0,61,0,20,0,112,2571,0,0,0,12473,19.14
5/22/22,15:00,2063,5809,1437,0,61,0,8,0,112,2431,0,0,0,11921,16.17
5/22/22,16:00,2063,6148,1271,0,61,0,2,-53,0,1702,0,0,0,11193,18.63
5/22/22,17:00,2063,6401,1219,0,61,0,2,-491,0,1560,0,0,0,10816,18.58
5/22/22,18:00,2063,6695,1167,0,61,0,11,-472,0,1650,0,0,0,11175,18.93
5/22/22,19:00,2063,7006,1050,0,61,0,14,-174,0,1796,0,0,0,11815,19.17
5/22/22,20:00,2063,7326,972,0,61,1,15,-82,0,1637,0,0,0,11992,19.95
5/22/22,21:00,2063,7029,951,0,61,322,14,-375,0,1840,0,0,0,11905,19.67
5/22/22,22:00,2063,6690,977,0,61,1290,15,-630,0,1811,0,0,0,12276,19.22
5/22/22,23:00,2063,6792,1005,0,61,2461,13,-553,0,1575,0,0,0,13417,18.83
5/23/22,0:00,2062,6632,1340,0,61,3551,19,0,63,1342,0,0,0,15069,10.23
5/23/22,1:00,2062,6889,1898,0,61,4431,25,0,113,1182,0,0,0,16660,4.02
5/23/22,2:00,2062,6603,1624,0,61,4987,29,0,221,1627,0,0,0,17213,10.26
5/23/22,3:00,2061,6963,1535,0,61,5174,31,0,160,1416,0,0,0,17401,14.07
5/23/22,4:00,2060,6537,1332,0,61,4892,34,-627,0,2321,0,0,0,16611,0.02
5/23/22,5:00,2060,6789,1699,0,61,4397,35,0,75,2105,0,0,0,17222,2.29
5/23/22,6:00,2059,7256,1980,0,61,3750,32,0,209,1903,0,0,0,17250,10.98
5/23/22,7:00,2059,8312,2042,0,61,2871,27,0,197,1579,0,0,0,17148,16.84
5/23/22,8:00,2059,9165,2290,0,61,1594,19,0,94,1635,0,0,0,16916,20.8
5/23/22,9:00,2059,9390,2307,0,61,681,15,0,89,1659,0,0,0,16261,20.44
5/23/22,10:00,2059,9686,2308,0,61,158,15,0,126,1585,0,0,0,15998,20.9
5/23/22,11:00,2060,9458,2293,0,61,0,18,0,210,1515,0,0,0,15615,21.06
5/23/22,12:00,2060,9327,1867,0,61,0,17,0,95,1400,0,0,0,14827,24.17
5/23/22,13:00,2060,9346,1434,0,61,0,20,0,133,1055,0,0,0,14109,24.26
5/23/22,14:00,2060,9033,1348,0,61,0,9,0,47,1028,0,0,0,13585,24.46
5/23/22,15:00,2060,8365,1397,0,61,0,4,0,0,1146,0,0,0,13033,19.76
5/23/22,16:00,2060,7692,1260,0,61,0,3,0,0,974,0,0,0,12050,18.84
5/23/22,17:00,2059,7609,1156,0,61,0,3,0,0,614,0,0,0,11502,18.66
5/23/22,18:00,2058,8147,1129,0,61,0,4,0,0,525,0,0,0,11924,18.92
5/23/22,19:00,2060,8649,1160,0,61,0,1,0,1,611,0,0,0,12543,19.97
5/23/22,20:00,2061,9071,1094,0,61,1,0,0,120,396,0,0,0,12805,20.26
5/23/22,21:00,2061,8387,953,0,61,362,0,0,24,850,0,0,0,12698,19.67
5/23/22,22:00,2062,7208,954,0,61,1354,2,0,143,1140,0,0,0,12925,17.66
5/23/22,23:00,2062,6312,969,0,61,2500,4,0,138,1590,0,0,0,13635,13.59
5/24/22,0:00,2061,7400,1076,0,61,3575,6,0,102,1069,0,0,0,15349,10.54
5/24/22,1:00,2062,6976,1988,0,61,4469,8,-54,0,1413,0,0,0,16922,7.18
5/24/22,2:00,2062,7268,1838,0,61,5063,10,-236,0,1583,0,0,0,17649,6.04
5/24/22,3:00,2061,7477,1687,0,61,5319,13,-115,0,1584,0,0,0,18086,3.83
5/24/22,4:00,2060,6965,1131,0,61,5240,22,-231,0,2126,0,0,0,17375,0.02
5/24/22,5:00,2060,7519,1760,0,61,4930,31,0,208,1696,0,0,0,18264,2
5/24/22,6:00,2060,8277,1940,0,61,4266,36,0,247,1445,0,0,0,18331,5.85
5/24/22,7:00,2059,8960,2151,0,61,3393,40,0,432,1082,0,0,0,18179,15.04
5/24/22,8:00,2058,9649,2295,0,61,2326,50,0,622,1081,0,0,0,18142,22.5
5/24/22,9:00,2058,9711,2287,0,61,1217,36,0,548,1547,0,0,0,17464,23.32
5/24/22,10:00,2057,9637,2286,0,61,297,30,0,48,2329,0,0,0,16746,20.57
5/24/22,11:00,2057,9985,2141,0,61,0,39,0,64,1855,0,0,0,16203,22.43
5/24/22,12:00,2057,9736,1661,0,61,0,44,0,81,1755,0,0,0,15394,21.86
5/24/22,13:00,2057,9206,1447,0,61,0,49,0,0,1756,0,0,0,14577,20.17
5/24/22,14:00,2058,9095,1349,0,61,0,57,0,0,1365,0,0,0,13986,20.17
5/24/22,15:00,2059,8586,1324,0,61,0,56,0,0,1233,0,0,0,13318,17.6
5/24/22,16:00,2058,8119,1040,0,61,0,51,0,0,976,0,0,0,12305,18.63
5/24/22,17:00,2012,7635,1015,0,61,0,43,0,0,982,0,0,0,11748,17.38
5/24/22,18:00,1999,8350,1008,0,61,0,23,0,0,670,0,0,0,12111,18.47
5/24/22,19:00,2024,8750,1011,0,61,0,14,0,0,908,0,0,0,12768,18.8
5/24/22,20:00,2049,8763,1012,0,61,2,13,0,0,922,0,0,0,12821,19.16
5/24/22,21:00,2059,8411,1012,0,61,329,14,0,0,772,0,0,0,12659,19
5/24/22,22:00,2060,7267,1011,0,61,1115,10,0,109,1230,0,0,0,12863,17.52
5/24/22,23:00,2060,7134,1035,0,58,2280,6,0,133,1295,0,0,0,14001,3.83
5/25/22,0:00,2060,8114,1146,0,55,3293,9,0,33,1360,0,0,0,16070,8.02
5/25/22,1:00,2060,8287,1279,0,55,4037,9,0,240,1766,0,0,0,17733,10.84
5/25/22,2:00,2060,7702,1295,0,55,4441,10,0,161,2480,0,0,0,18205,12.9
5/25/22,3:00,2060,8373,1318,0,55,4677,15,-514,0,2470,0,0,0,18454,14.06
5/25/22,4:00,2059,8643,892,0,55,4697,20,-894,0,2379,0,0,0,17852,11.88
5/25/22,5:00,2059,8293,1656,0,55,4477,18,-140,0,2203,0,0,0,18621,15.53
5/25/22,6:00,2059,8653,1844,0,55,4014,23,0,229,1806,0,0,0,18683,14.91
5/25/22,7:00,2059,9654,2107,0,55,3196,27,0,129,1285,0,0,0,18511,14.48
5/25/22,8:00,2057,10540,2111,0,55,2124,36,0,147,1157,0,0,0,18227,18.06
5/25/22,9:00,2056,10617,2130,0,55,1065,27,0,191,1222,0,0,0,17363,22.63
