,,Kansai,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kansai
4/3/22,8:00,2070,6964,1373,0,68,872,15,0,80,3007,0,0,0,14450,11.24
4/3/22,9:00,2070,7852,1707,0,68,336,16,0,54,3013,0,0,0,15117,16.65
4/3/22,10:00,2070,8932,1939,0,68,19,19,0,228,2700,0,0,0,15977,19.3
4/3/22,11:00,2070,8948,2035,0,68,0,16,0,223,2686,0,0,0,16047,23.81
4/3/22,12:00,2070,8942,1925,0,68,0,11,0,10,2687,0,0,0,15715,22.74
4/3/22,13:00,2070,8503,1774,0,68,0,13,0,153,2383,0,0,0,14964,23.63
4/3/22,14:00,2070,8074,1502,0,68,0,14,0,73,2184,0,0,0,13986,24.98
4/3/22,15:00,2070,7339,1458,0,68,0,17,0,0,2339,0,0,0,13292,18
4/3/22,16:00,2070,6284,1110,0,68,0,18,0,0,2859,0,0,0,12410,14.74
4/3/22,17:00,2070,6543,1118,0,68,0,17,0,0,2339,0,0,0,12156,16.73
4/3/22,18:00,2070,7209,1151,0,68,0,21,0,0,2122,0,0,0,12641,17.02
4/3/22,19:00,2070,7460,1265,0,68,0,27,0,0,2233,0,0,0,13122,17.3
4/3/22,20:00,2070,7770,1231,0,68,0,30,0,0,2012,0,0,0,13182,19.2
4/3/22,21:00,2070,8221,914,0,68,7,33,0,118,1792,0,0,0,13223,27.85
4/3/22,22:00,2070,8758,939,0,68,401,38,0,234,1478,0,0,0,13987,33.18
4/3/22,23:00,2071,8078,1313,0,68,1427,47,0,193,2038,0,0,0,15236,31.84
4/4/22,0:00,2070,6461,1932,0,68,2587,50,-185,0,3507,0,0,0,16491,24.54
4/4/22,1:00,2070,6924,2010,0,68,3612,63,-259,0,2772,0,0,0,17259,26.03
4/4/22,2:00,2070,6432,1872,0,68,4323,57,-381,0,2883,0,0,0,17325,19.01
4/4/22,3:00,2070,6713,1154,0,68,4638,63,-749,0,3250,0,0,0,17207,19.74
4/4/22,4:00,2070,6233,910,0,68,4798,77,-1345,0,3467,0,0,0,16279,16.8
4/4/22,5:00,2070,6786,852,0,68,4639,81,-846,0,3071,0,0,0,16721,19.27
4/4/22,6:00,2070,6408,962,0,68,4005,81,-357,0,3177,0,0,0,16415,19.74
4/4/22,7:00,2070,6357,1628,0,68,3008,80,-121,0,3094,0,0,0,16184,22.12
4/4/22,8:00,2069,6888,1940,0,68,1852,83,0,139,3413,0,0,0,16452,31.96
4/4/22,9:00,2069,8860,2002,0,68,670,86,0,424,2330,0,0,0,16510,36.51
4/4/22,10:00,2069,9763,2026,0,68,25,70,0,643,2194,0,0,0,16859,45.03
4/4/22,11:00,2070,9505,2014,0,68,0,81,0,357,2672,0,0,0,16768,36.08
4/4/22,12:00,2069,9377,1834,0,68,0,68,0,247,2662,0,0,0,16326,35.2
4/4/22,13:00,2069,9461,1682,0,68,0,71,0,171,2216,0,0,0,15738,35.62
4/4/22,14:00,2070,8948,1441,0,68,0,75,0,148,2354,0,0,0,15104,29.32
4/4/22,15:00,2070,8268,1155,0,68,0,90,0,143,2561,0,0,0,14355,17.68
4/4/22,16:00,2070,7325,1062,0,68,0,96,0,134,2644,0,0,0,13400,15.72
4/4/22,17:00,2070,7419,1061,0,68,0,104,0,133,2222,0,0,0,13079,16.67
4/4/22,18:00,2070,8310,1303,0,68,0,100,0,227,1618,0,0,0,13697,19.44
4/4/22,19:00,2070,8460,1465,0,68,0,95,0,389,1533,0,0,0,14080,19.6
4/4/22,20:00,2070,8709,1475,0,68,0,85,0,345,1353,0,0,0,14106,20.21
4/4/22,21:00,2070,8576,1464,0,68,9,84,0,388,1452,0,0,0,14112,29.32
4/4/22,22:00,2070,8229,1351,0,68,469,74,0,299,2135,0,0,0,14696,37.32
4/4/22,23:00,2071,7135,1241,0,68,1710,45,-27,0,3128,0,0,0,15373,17.06
4/5/22,0:00,2070,6706,1279,0,68,2984,39,-326,0,3737,0,0,0,16558,12.53
4/5/22,1:00,2070,6590,1025,0,68,4052,38,-248,0,3706,0,0,0,17302,12.07
4/5/22,2:00,2070,5648,854,0,68,4816,37,0,237,3506,0,0,0,17237,9.82
4/5/22,3:00,2071,5674,848,0,68,5191,41,-409,0,3710,0,0,0,17194,11.84
4/5/22,4:00,2070,5415,839,0,68,5206,35,-521,0,3201,0,0,0,16313,1.01
4/5/22,5:00,2070,5716,850,0,68,4882,33,-453,0,3581,0,0,0,16748,7.27
