1,2,3,4,5,6,7,8,9
3181,31310,14546,6464,8970,8844,3123,15197,2820
3005,29730,14056,6108,8545,8452,3074,14500,2620
3033,27890,13614,5925,8133,8230,3026,13792,2520
2980,25740,12811,5750,7666,7894,2909,12820,2410
3054,24710,12554,5728,7689,8101,3009,12525,2460
3157,24640,12760,6072,8181,8380,3233,13034,2670
3277,24820,13092,6594,8715,8586,3381,13560,2880
3329,25080,13090,6745,9005,8810,3451,13584,2940
3323,25760,13308,6769,8980,9125,3409,13500,2900
3389,26920,13649,6808,8870,9186,3336,13902,2820
3427,28680,14374,6713,8519,9119,3208,14521,2760
3709,31740,16083,6740,8388,9748,3335,15825,3000
3873,33240,16970,6945,8525,9943,3445,16636,3090
3893,33240,16749,6750,8590,9783,3451,16728,3120
3891,33980,16753,6784,8717,9576,3433,16858,3120
3632,33000,15502,6486,8482,9141,3246,15908,2970
3509,33250,16341,6703,8703,9342,3341,16482,3130
3401,32490,16264,6565,8547,9334,3320,16308,3090
3375,32010,15979,6500,8384,9158,3259,16022,2970
3477,31990,15832,6676,8705,9281,3294,16166,2880
3553,31920,15410,6597,8932,9256,3244,15875,2790
3725,32820,15743,6769,9179,9585,3306,16076,2970
3678,32170,15310,6742,9306,9455,3257,15894,2980
3519,31050,14844,6587,9084,9150,3168,15339,2880
3346,29540,14399,6382,8721,8742,3065,14798,2720
3189,28180,13948,6187,8401,8446,3025,14179,2530
3207,26580,13560,6051,8036,8283,2959,13485,2460
3176,24660,12857,5884,7515,7985,2879,12621,2370
3245,23730,12513,5921,7625,8216,2990,12393,2410
3405,23770,12759,6290,8113,8513,3193,12941,2620
3480,23990,13055,6803,8757,8748,3365,13468,2850
3549,24300,13180,6990,9035,9057,3418,13542,2940
3497,24940,13231,6839,9038,9358,3424,13427,2940
3437,26260,13594,6836,8946,9295,3344,13822,2860
3332,28120,14262,6610,8425,8968,3200,14524,2790
3498,31200,15824,6721,8271,9603,3318,15737,3030
3642,33310,16651,6834,8540,10007,3438,16643,3190
3583,34070,16621,6821,8920,9927,3427,16775,3170
3574,34040,16361,6810,8961,9821,3426,16717,3130
3317,32980,15276,6589,8694,9259,3223,15933,2990
3366,33280,15987,6815,8917,9399,3312,16407,3100
3434,32880,15984,6739,8656,9507,3286,16241,3080
3504,32410,15677,6639,8459,9310,3312,16114,3030
3613,32240,15644,6695,8739,9631,3352,16257,3030
3658,32550,15394,6615,8908,9847,3349,16023,2940
3748,33690,15598,6783,9172,10093,3360,16072,2990
3661,32890,15189,6633,9272,9843,3263,15733,2950
3511,31670,14666,6442,8921,9493,3149,15158,2830
3364,30010,14207,6224,8527,9053,3044,14698,2660
3218,28440,13713,6033,8179,8624,3007,13987,2490
3330,26730,13242,5766,7860,8363,2940,13429,2430
3248,24900,12497,5676,7424,8073,2832,12559,2330
3357,24080,12193,5732,7450,8252,2940,12252,2370
3458,24150,12409,6187,7970,8511,3143,12802,2570
3570,24500,12688,6616,8567,8720,3289,13326,2810
3607,24870,12831,6777,8939,8941,3360,13310,2910
3556,25520,12914,6674,8928,9232,3360,13148,2880
3666,26420,13274,6637,8724,9293,3299,13430,2770
3534,27450,13926,6540,8262,9090,3142,14259,2710
3598,30150,15429,6461,8110,9680,3255,15482,2960
3704,32520,16418,6576,8487,9996,3384,16355,3070
3714,33490,16396,6537,8808,9940,3426,16481,3090
3784,33800,16249,6629,9041,9891,3438,16579,3080
3449,32580,15209,6358,8824,9351,3265,15802,2930
3432,32690,15855,6580,8936,9529,3343,16221,3060
3293,32010,15741,6404,8753,9517,3305,15974,3010
3254,31560,15359,6313,8502,9290,3242,15708,2940
3425,31560,15319,6449,8718,9459,3246,15751,2960
3479,31490,14841,6435,8852,9387,3209,15533,2900
3644,32380,15071,6464,9005,9864,3289,15585,2920
3581,31790,14722,6395,9102,9671,3258,15396,2890
3421,30590,14329,6334,8740,9396,3169,14846,2770
3280,29060,13878,6195,8458,8932,3090,14390,2640
3224,27690,13564,6007,8160,8592,3057,13889,2470
3263,26240,13145,5829,7891,8474,2993,13282,2410
3195,24440,12245,5651,7433,8205,2901,12413,2330
3280,23520,12012,5660,7348,8344,2968,12098,2360
3380,23440,12256,5958,7796,8558,3165,12718,2560
3439,23720,12531,6469,8474,8747,3291,13229,2790
3445,23850,12491,6522,8768,8915,3323,13094,2860
3352,23760,12121,6413,8626,8937,3218,12678,2760
3234,23530,11743,6088,8089,8633,3015,12338,2560
3021,23940,11722,5745,7429,8045,2777,12507,2410
3075,25630,12250,5597,7071,8109,2745,13162,2390
3141,27360,12565,5637,7673,8177,2774,13673,2480
3106,28170,12643,5707,7870,8041,2789,13909,2530
3125,28310,12619,5849,8044,7944,2783,13928,2570
3026,27880,12285,5696,8003,7775,2702,13653,2490
2899,27590,12216,5650,7981,7677,2663,13671,2560
2866,26810,11944,5434,7826,7550,2614,13465,2520
2913,26470,11805,5449,7500,7328,2573,13254,2470
3047,26570,11846,5629,7676,7589,2588,13437,2500
3196,27150,11880,5874,8055,7742,2614,13645,2550
3370,28510,12518,6091,8280,8258,2685,13934,2600
3327,28330,12497,6074,8428,8174,2677,14062,2610
3194,27390,12084,5950,8083,7948,2598,13616,2520
3100,26070,11569,5647,7789,7550,2501,13082,2390
2957,24950,11013,5244,7537,7326,2442,12388,2260
2986,23900,10789,5098,7249,7231,2413,11919,2280
2924,22400,10168,5115,6851,6981,2346,11208,2190
3032,21740,10085,5099,6831,7171,2438,10956,2230
3095,21770,10383,5481,7285,7428,2661,11577,2430
3198,22040,10750,5870,7912,7637,2816,12043,2650
3233,22120,10734,5996,8197,7824,2836,11951,2720
3155,21860,10573,5756,7986,7797,2708,11562,2620
3036,21350,10110,5524,7254,7382,2491,11172,2360
2822,21780,10181,5228,6748,6968,2330,11329,2230
2826,23370,10519,4985,6416,6937,2324,11741,2290
2842,25010,10860,5123,6674,7125,2386,12242,2360
2808,26160,11011,5205,6970,7074,2435,12657,2410
2803,26920,11150,5255,7293,7209,2469,12855,2420
2888,26980,11157,5307,7437,7084,2454,12899,2430
2860,26520,11012,5242,7283,7024,2396,12800,2440
2845,25950,10857,5078,7062,6897,2352,12614,2440
2891,25900,10773,5096,7029,6933,2343,12701,2450
2965,26180,10952,5208,7287,7222,2390,13000,2410
3138,26870,11299,5427,7843,7573,2465,13219,2430
3313,28350,11980,5810,8213,8109,2559,13815,2590
3297,28230,11956,5901,8251,8020,2563,13839,2610
3174,27290,11597,5738,8027,7742,2506,13425,2540
3039,25920,11184,5583,7687,7418,2418,12812,2410
2909,24360,10573,5213,7305,7082,2358,12055,2270
2920,23350,10320,4994,6999,6953,2320,11612,2230
2874,21900,9803,5006,6627,6773,2296,10923,2150
2976,21210,9581,4985,6638,6982,2384,10726,2160
3111,21420,9937,5419,7174,7354,2615,11323,2360
3194,21870,10473,5932,7768,7603,2774,11856,2610
3219,22250,10607,6199,8134,7790,2840,11968,2720
3187,22520,10851,5988,8125,7973,2807,11828,2700
3280,23290,11445,5901,7875,8039,2760,11992,2550
3280,25350,12608,5849,7820,7909,2730,12958,2500
3420,28900,14663,6252,8287,8483,2997,14577,2820
3503,31610,15924,6532,8867,8964,3206,15640,3020
3386,32860,16135,6744,9008,9091,3256,15978,3140
3353,33480,16172,6852,9212,9185,3269,16239,3160
3144,31900,15253,6363,8823,8757,3146,15460,2930
3257,32600,15987,6604,9219,9077,3288,15776,3110
3206,32520,16023,6528,9159,9103,3311,15726,3030
3206,32770,15595,6455,9067,8964,3261,15695,2890
3297,32430,15514,6494,9147,8986,3226,15749,2950
3291,31490,15179,6399,9150,8780,3117,15648,2950
3437,32200,15317,6651,9336,9050,3135,15709,3020
3391,31200,14723,6531,9246,8761,3044,15244,2910
3214,29850,14150,6332,8881,8386,2927,14601,2800
3056,28230,13661,6074,8472,7994,2824,13969,2640
2900,26950,13332,5773,8072,7697,2789,13380,2470
2881,25600,12926,5586,7704,7452,2730,12823,2420
2825,23760,12143,5376,7242,7209,2631,11944,2300
2927,22890,11899,5371,7196,7321,2718,11709,2310
3049,23010,12042,5637,7662,7623,2937,12289,2490
3154,23290,12324,6074,8250,7897,3081,12801,2740
3186,23530,12406,6257,8534,8029,3105,12865,2830
3160,23680,12374,6021,8391,8096,3045,12635,2780
3211,24430,12653,5822,8083,8112,2954,12854,2660
3114,26230,13519,5877,7930,7986,2886,13755,2650
3325,29410,15281,6260,8340,8663,3110,15154,2940
3387,32290,16453,6417,8825,9116,3297,16142,3070
3356,33470,16646,6484,9047,9228,3377,16466,3130
3350,34130,16670,6518,9292,9308,3423,16635,3190
3101,33190,15725,6105,8671,8830,3252,16080,3020
3234,33960,16648,6540,9113,9213,3395,16836,3170
3265,33710,16730,6451,9303,9230,3394,16824,3140
3269,33360,16535,6539,9034,9140,3341,16714,3070
3327,33150,16408,6667,9301,9205,3329,16730,3150
3385,32270,15725,6455,9381,8886,3207,16238,3050
3475,32590,15785,6444,9411,9044,3180,15950,3020
3390,31580,15183,6358,9310,8804,3086,15482,2970
3217,30120,14549,6109,8952,8396,2972,14819,2820
3066,28460,13949,5914,8534,7972,2864,14217,2630
2892,27090,13493,5762,8164,7770,2805,13544,2470
2880,25740,13086,5567,7795,7601,2754,12967,2410
2832,23910,12294,5348,7338,7309,2640,12104,2270
2924,23000,11944,5369,7232,7404,2719,11793,2290
